developerResponse,userName,isEdited,date,title,rating,review,app_name,app_id
"{'id': 17715791, 'body': ""Hello! Ms. Foster, thank you so much for sharing your feedback. We're delighted to see the BetterMe Meditation app has been helpful to you, and we hope it will continue coming in handy in the future as well. All the best, Team BetterMe"", 'modified': '2020-09-06T12:22:35Z'}",Jenni Foster,False,2020-09-03 13:21:34,A Life Changing App!,5,"The app changed my whole life, and how I view this world! Seriously! This is the best thing that happened to me. I don’t know what I would do without it, and whether I would be here right now. It is a lifesaver! I was having a rough time when I stumbled upon this app. Although I was skeptical about it, I downloaded it because at that point I could use anything, literally anything. I have talked to a therapist, and my friends, and mom, and nothing helped. I stumbled upon this app and decided to give it a try. The first week I didn’t see any changes. I was thinking of giving up, and telling my therapist that it didn’t work, but something about me feeling a little more relaxed that made me want to keep trying. And I'm glad I did! I can't even express how good it felt when I finally managed to relax completely. It’s like I was in a bathtub filled with boiling glue, and then just jumped onto a light and fluffy cloud – that is how it felt to finally set myself free from all those problems and haunting thoughts. I began to notice how beautiful nature is, and how good it felt to have fun with friends or be near people who love and support me. I began to notice all that and appreciate it. I don’t know if I would have done it without the help of meditation, but what I do know is that it has changed me, and I am very grateful for that!",betterme-calm-sleep-meditate,1363010081
"{'id': 17290840, 'body': ""Hi! Thanks for feedback. We're so happy to see you like what the BetterMe Meditation app has to offer! Kind regards, Team BetterMe"", 'modified': '2020-08-14T20:43:12Z'}",brn2shop,False,2020-08-13 15:06:48,Amazing App,5,"This app is a real lifesaver. I’m sure that everyone has a period in their life when everything seems like it’s falling apart and there is nothing you can do about it. Well, that is basically what my life has been like since middle school. I am really bad at managing stress and stressful situations, so I find myself worrying a lot and always have a lot on my mind. My friend recommended that I should try meditation and that it would help me relax. I tried it a couple of times, but I just couldn’t relax completely. My thoughts kept racing around in my head and I became frustrated that I couldn’t just let go. I felt discouraged because if I couldn’t control my own thoughts, how could I control my own life? 

When I stumbled upon this app, I decided to give my meditation practice another try, and it worked. It worked because I realized that you can’t control your thoughts and you should never try to. What you do need to do is to accept them and accept yourself. This app helped me realize what I needed and helped me completely relax for probably the first time in my life! I wanted to share my experience so that if you are going through the same thing, I highly recommend you download this app, and trust it and let it guide you! Everything will get better, and I hope that you will love it as much as I do!",betterme-calm-sleep-meditate,1363010081
"{'id': 21812438, 'body': ""Hello! Our team is always at your service. We haven't found your request via email and unfortunately, we have never heard from you back. It would be great if you could send us a message for a solution to your problem. Please provide us with the 6-7-digit number of the email you have received in the auto-reply. This way we will locate your messages and get back to you shortly. Kind regards, team BetterMe Meditation  "", 'modified': '2021-03-23T08:08:06Z'}",LmMc1008,False,2021-02-28 00:12:17,Mediocre app and they keep stealing my money,1,"I bought a one week trial period and after one day realized it was not something I wanted or needed. It’s a mediocre app and I didn’t want to continue with the membership after the trial period. No big deal... I wasted $5 but that’s the chance you take in a trial period. I stopped using the app after the one time I checked it out and emailed to cancel that same day and was told I didn’t need to cancel anything because it was just a trial period. The next week I was charged again so I sent another email with no response. The next week I was charged again so I sent yet another email and received no response. The next week I was charged AGAIN so I finally opened another line of communication and got a response that the membership had been canceled and that someone would reach out about my refund. It took a long time for that email to come but when it finally did they gave me the option to have 6 months of a free membership (a membership I don’t want or need) OR I could choose to get half of the money back, that they weren’t supposed to charge me. I am not asking for my trial period money back. Just all of the money they charged after I canceled multiple times. This is crappy customer service. There are plenty of other meditation apps that are better and have more to offer that are free or significantly cheaper and won’t rip you off!",betterme-calm-sleep-meditate,1363010081
"{'id': 17140621, 'body': 'Hi there! We are always glad to assist our customers and make their experience more pleasant. Please reach us at support@betterme.tips\xa0and we will see what we can do for you. Kind regards, Team BetterMe\xa0Meditation', 'modified': '2020-08-07T09:37:56Z'}",ChloeJade,False,2020-08-06 13:59:31,Almost perfect,5,"I was skeptical of the app at first because I didn’t believe that an app could help me learn how to meditate. Hm, honestly, I’m glad I was wrong))
There are so many options, and it’s extremely easy to filter what you need, from how you feel to whether or not you want music, a male voice or a female voice or just music and what kind.
The guided meditations (on the phone app, at least) are geared towards different focuses, such as Anxiety"",, ""Deep Sleep"", “Stress” etc. I found these to be really helpful when I first started learning how to meditate last year, especially the ""Deep Sleep"" one. This particular guided meditation helped me calm my mind before going to bed each night, which led to incredibly restful nights that left me very refreshed and energetic in the morning.
I highly recommend it because of its incredible nature sounds, ambient music for falling asleep and simple interface. One downside though is that the app sometimes has glitches which annoy me a little. 4/5",betterme-calm-sleep-meditate,1363010081
"{'id': 17140692, 'body': ""Hi, thank you for sharing your feedback. We're really happy to see BetterMe Meditation has been helpful to you, and we're sure you'll achieve your personal goals. All the best, Team BetterMe!"", 'modified': '2020-08-07T09:41:17Z'}",namishaaa55,False,2020-08-06 10:53:32,Excellent app!!,5,"Went around, tried various apps, and came back to this one. Excellent app, simple, easy to use, graphically attractive, good choice of meditations for various needs and situations. We often read or hear that we have to focus on the breath while meditating. But nobody tells how us long to breathe, how to focus on the breathe and such things. That’s where BetterMe app comes to help. They have guided ways to help you meditate by focusing on the breathing exercises.
I also have issues with sleep, not being able to get to sleep. Thanks to the bedtime sessions on the app my sleep quality has improved immensely.
In addition, I've been able to relax, center, and ground my thoughts morning, day and night. Thanks a lot!",betterme-calm-sleep-meditate,1363010081
"{'id': 23341505, 'body': 'Hello! Thank you for your review. We are really sorry for the negative experience with our app. Can you please provide us more details on this to gethelp@betterme.tips, we will take a look into this issue? Kind Regards, Team BetterMe Meditation', 'modified': '2021-06-12T08:52:02Z'}",Jray-420,False,2021-05-11 21:14:00,Feel ripped off,2,Idk what I just spent $20 on to then ask me to pay even more for what I thought was apart of that “limited on time offer” and the 1st article I read which was about rage and anger already stopped reading after number one because it says to tell him “ you know I don’t like it when you do this” and you statements. As someone who has been in an a hold of therapy since I was young due to depression I know that you’re not supposed to make statements like that especially when you’re talking about an angry situation you’re supposed to make ice statements it makes me feel this way because then you’re just making that person think that you’re attacking them. I will be turning off the subscription I kind of want my money back already. I did really like the sound feature though how you could turn up the fireplace or like the other noises I did really like that. That was neat.,betterme-calm-sleep-meditate,1363010081
"{'id': 14081319, 'body': ""Hello, we appreciate your feedback. We also hope you'll soon see more positive changes thanks to BetterMe Meditation!"", 'modified': '2020-03-18T09:29:08Z'}",AoiArekuShiro,False,2020-03-15 16:18:11,You Can Go With The Free Meditation! This Really Does Help!,5,"No Cost! But Which Meditation Reduces Feelings Of Loneliness?
I Have No Problems With Myself Still Being Interested In People.
I’ve Got A Few Good IQ Scores While Dreaming About My Future Girlfriend. I’m Still Interested In Making Gacha Videos & Drawing Pictures. If I Have A Idea Of Who My Future Girlfriend Could Be, I Could Sketch A Picture On Paper Of What She Might Look Like. I Am Still Searching For A Good Pair.
What I Do Know So Far, She Either Has Blue Hair, Red Hair OR
Some Brown Colored Hair. Short OR Average Height. Flat Abs. Wears Foxy Socks. Enjoys Going To The Gymnasium OR Going Swimming. Gets Easily Surprised That She Takes Off Running Around The Room. Maybe She Graduated From School, Since I Did Not See Her Within High School Inside My Dream Space. I
Keep Hugging Girls Within My Dreams Which Means That I Am Emotionally Missing Out On All Of The Fun On Building Up Real Life Partner Relationships.
This Application Had Really Helped Me Get A Very Good Night’s Rest With My Cozy Pillows Within My Cozy Bed. Sweet Dreams!
First Sleep Meditation Option On The List Recommended.",betterme-calm-sleep-meditate,1363010081
"{'id': 20195680, 'body': 'Hello! No worries! We are one click away. Simply text us at gethelp@betterme.tips and we will gladly review your case. Kind regards, Team BetterMe Meditation', 'modified': '2021-01-05T15:19:24Z'}",tiggert23,False,2021-01-04 10:16:37,Purchased from Ad,3,"So I had been wanting an app related specifically for realigning chakras and I believe I saw an ad for this one. So after purchasing two separate things which total to almost about $15 I finally tried it and unfortunately I was not impressed. There’s a couple of 7 day courses you can take voiced by a woman or robot, I can’t tell, but her pace is so unnatural and monotonic that it’s hard to differentiate between her and Siri. It actually is so distracting, you lose focus on being in the present and I found myself wondering when it was going to be over. And at the end it just abruptly cuts off after stating to continue to meditate. Totally the opposite of relaxing.I’m not sure how to discontinue this subscription since it’s not through the App Store but I will not be renewing.",betterme-calm-sleep-meditate,1363010081
"{'id': 17378068, 'body': ""Hello, thank you for your feedback! We're glad BetterMe Meditation has been of help to you, and hope you'll keep enjoying it :) Kind regards, Team BetterMe"", 'modified': '2020-08-19T12:17:16Z'}",afii20,False,2020-08-18 08:06:23,Life-changing,5,"This app changed me a lot. I have been struggling with crippling anxiety since school. I was constantly anxious about my past and future and had a couple of mental breakdowns. I have never turned to meditation though, as I was skeptical towards the idea that you could calm down your anxiety with some chakras or something. Needless to say, I was completely wrong. I found this app randomly, and the soft power of meditation immediately started working. My favorite are the meditations for a deep and peaceful sleep. Overall, I couldn’t be more grateful to developers for a spiritual peace and calmness this app has introduced in my life.",betterme-calm-sleep-meditate,1363010081
"{'id': 23365664, 'body': 'Hello! We still cannot find your request. Have you lately sent it to gethelp@betterme.tips? We are here to always help you. Best Regards, Team BetterMe', 'modified': '2021-06-14T08:33:05Z'}",LaowaiGram,False,2021-05-12 12:08:29,Was I expecting too much?,3,"The app was directed to me through Instagram. Finally caved in and clicked the link to see what’s it all about. 

Realized I had to have a subscription to even view most content. Closed out the app without any purchase. Later received a discount for $20/year plan and decided to go for it...

Took roughly 48 hours for me to get login information from the support team. Stressful and disappointing. Albeit there was a delay, however we got to a solution. Finally, day three after purchase I could to use the app. 

The GUI is ergonomic enough, but there is little guidance offered. No description or tutorials, where to begin directions, you’re just kinda dropped in this meditation box.

The features aren't plentiful, but there is enough to get you going on a meditative road to less anxiety. The hardest aspect to overcome is the narrated guided meditation practice that is voiced by a robotic, mono-tonal computer. Being told to do such and such, think such and such, by an unempathetic robot voice is tacky feeling.

3/5 stars. Would use at $20 yearly subscription for one year, unlikely to resubscribe. Would not suggest this app to my IRL associates.",betterme-calm-sleep-meditate,1363010081
