userName,rating,date,title,review,isEdited,app_name,app_id,developerResponse
#Princess 👑,5,2021-06-16 20:42:58,I am a teenager,I am a teenager who would go to sleep after staring at the ceiling for about 30-45 minutes. I heard from somebody that I look up to that meditation was really good for you and that it helped her. Well for me I no longer just lay looking at the ceiling for more than half an hour. I did the sleep meditations and they really helped me and those are what I started with which is probably not how you’re “supposed” to do it but there is no wrong or right way. I then got a little tired of the sleep meditations because I’d done them so much so then I used the soundscapes. I put a soundscape on every night before I go to sleep. I love them and love the fact that there is a sleep timer so that I can set a timer for like an hour which is well over the amount of time it takes me to fall asleep now but it’s nice to fall asleep to the sound and not have to worry about turning it off. I am also all about a healthy mindset and self care haha. So I did so many of the meditations on the little self care area (Which I love that they have that). I just recently started the “how to meditate” just to further understand what I’ve been doing. I love it so far. I 1000% recommend this app for sleep problems or even if you’re bored in the summer and want to learn how to do something beneficial and something that could definitely help you in the long run. This was kinda a whole story but whatever hahaha. Anyways yea totally recommend this app!!!,False,calm,571800810,
IamSporkette,5,2020-12-06 05:17:39,Ummm,"I updated the calm app and just out of curiosity I read some of the reviews.  I have been using the app for a while off and on, and love it.  I was curious what other people thought, and I don’t understand the critical apps.  Most are complaining that there is ‘no free content’ and you have to pay to get anything.  So I looked at the website without logging in just to see, since I’ve been a paying customer for several years.  Nothing personal reviewers, but that’s just not so.  There are at least 4 series that you can do, some of which I’ve done and found very good.  There are a smattering of sleep stories, some music, and I gave up after looking at master class and finding them all unlocked.  Yeah, there is a lot that is locked, but there is more than enough to get the experience, and no reason to look at it and say it stresses you out because it’s all behind a paywall like so many of the critical reviews say.  

It’s a very well done app.  I’ve been using it for several years and still have barely scratched the surface of what’s available, and there’s always new stuff, and a new daily calm every day.  Yeah... it costs a bit, but it averages out to about 5 dollars a month, and you never run out of content, and it’s good quality.  Isn’t that worth it?  I think so.",False,calm,571800810,
YourLocalCalmUser,3,2020-09-21 22:38:20,Calm Review,"I really don’t like how you have to pay to get good stuff. That makes me stressed which takes away the purpose of the app Calm. Now, I understand that, with all of the items this app has, it has to cost money, but maybe, you could make more stuff free, like maybe a seven day program or something. Maybe that would hook more users and convince them to pay for the rest. Just a thought. Without paying, the only things you really can do are the daily check ins, the little reflection thing, and a timed meditation. Once someone gets bored of that, they’ll probably delete the app. You need a better way to get their attention. For example, I got the Sleep Cycle app, and I am very happy about it. It does have things that cost money, but not nearly as much money, or as many things that need money as Calm does. Most of the things in Calm cost a lot of money, and the things that are free are the things that aren’t the most helpful. Maybe this is an advertisement tactic? I’m not sure. However, in the Sleep Cycle app, the only thing that costs money is the Statistics which, honestly, I probably wouldn’t use that much. Also, it’s a lot cheaper. The things you can do without money are really cool; download the app to check it out! Over all, I have to give Calm three stars because of this, and it’s not just because it costs money, but also because of the amount of things that cost money and how much it costs. 

                         Sincerely, your local Calm user",False,calm,571800810,
UnluckyLadybug,3,2020-12-08 16:02:24,Ad Recommendation,"I just wanted to leave a recommendation.  There was an ad I got where you seemed to be walking down a hall that always turned right.  The walls seemed really close on both sides.  That is terrifying.  In fact, people purposely do that in horror games to create terror.  Just want to let you know, and this is coming from a psychology student.  I seriously thought something was gonna pop out at me and when I heard it was an app called “Calm” I was worried you guys knew nothing of the sort.  Terror is suspense, terror is build-up and a feeling that something is there.     That’s what makes good horror games.  But not an ad to help with anxiety, I can tell you that much.  It made me so scared!  Haha.
When I checked your app, I loved the aura.  I loved the colors.  But I also have to say this.  If you’re gonna add all these extra expenses, just put it out for that amount.  If you make this downloadable on different consoles and platforms, you have more excuses to put it out for an amount too.  Some consoles and platforms have all their apps at an expense.  I can appreciate your business and understand if you want a profit (who doesn’t.). Just, being up-front is better than saying “Unlock this app you just downloaded” basically.
I know nothing of business, though.  I just know that I’m cheap.  The free trial is a good idea, but understand people have other options, and everyone is struggling during this time with money, too.",False,calm,571800810,
calm girl10,5,2020-04-11 13:11:09,So relaxing and amazing,"I absolutely love love love this app!!!!♥️ once I could not go to sleep so I turned on some of the calm music and I fell asleep 10 minutes later. I was amazed. I have been getting better sleep since than. Also whenever I am feeling stressed or anxious about someone or something, I listen to one of the daily calms or the next day on the meditation trial. Right away it’s as if you were brought into some beautiful relaxing world where there are these voices saying “It will be ok no matter what. This will pass.” And it does its amazing how calming and peaceful this app is. Next, mood check in. The mood check in helps me express and release good and bad feelings and thoughts. Enjoy the good ones and let go of the bad ones. It even gives you a chance to write a little about them. It’s like your own personal diary, but way better. Last but definitely not least, I Believe this app can make you a better person. To be happier, to live life longer. It can be a real life changer. And just know that it’s never to late to start fresh again.  It’s never to late to change yourself. But most of all, it’s never to late lo be the big change in the world, that you have wished for. And calm can help with all of that. This is a total recommendation for anyone.",False,calm,571800810,
CaylieHan,4,2020-05-24 19:52:55,"Sleep, anxiety, & life saver all in one app","Honestly, I had come to a point in my life where I insomnia and anxiety were at an all time high , I was on anxiety meds, sleep meds, anything they could do to try & get my anxiety and insomnia under control & even when the pills weren’t really helping, I decided to try this app out because even doctors had recommend it, while yes- price tag can seem like a lot, BUT I used this one night while my anxiety was setting in and I was asleep half way through the sleep story and when I woke in the morning I was in disbelief. Nothing, I mean nothing had helped me until I found this app. The meditation & sleep stories are amazing. I am so grateful for this app. Now, the only reason I didn’t give it 5 stars would be due to a recommend I have for the creators, they should create a watch or something that can track your sleep & in the morning provide meditations, music, sleep stories that reflected how you slept the night before. For example, if someone woke up a lot, or of people were waking up frequently and having a hard time going back to sleep &  maybe making suggestions for  a meditation they could choose that one as more personal, or for anxiety with sleep or sleeplessness, things like that. I don’t know that would be my only recommendation, but overall and amazing app that’s worth the price.",False,calm,571800810,
nmbr1sk8r,4,2020-12-03 06:15:22,Great but needs more voices,"I love this app and use it all the time. Loads of new content added constantly. The length of the meditations is perfect. I love the series like 7 days of calm, 7 days of sleep, etc. the breathing exercises are so helpful. 

One area for improvement would be that currently most of the meditations, especially new content, is narrated by the same woman. It would be really helpful if these same sessions were recorded with a male voice, so listeners could have an option.  It would also be helpful if there were a more diverse selection of voices throughout the meditations. (This is done in the master classes and sleep stories, but I’d like to see it in the meditations too). A second area would be a review of the content of the gratitude meditations, which make assumptions and are therefore injurious for some listeners. For example I am in the middle of fighting a long term disease. Suggestions like you should be grateful for your health are not helpful and actually harmful for me. I’d really like to cultivate more gratitude but I can’t get through any of these meditations without being triggered. A review by someone working with diverse populations could help this. 

Other than this, I love the app. It has been designed so well and my mental health has improved dramatically since starting to use it. Highly recommended!",False,calm,571800810,
amberkaymccoy,5,2020-01-27 00:56:42,Helping High School Students Stay CALM,"I am a high school teacher at a high preforming high school in my area.  My students are often so stressed out and sleep deprived I feel so helpless to help them.  This year I decided to dedicate one day a week to meditating before we started class.  We do this every Thursday for the first 10-15 minutes of class. The response has been so positive from my students I am thinking of doing it two days a week next year.  The students LOVE Thursday!!  They have told me it’s the favorite part for their week.  Some students have even gotten the app for themselves.  I have heard so many times this year, “I needed that!” or “I needed to hear that today.”  After on session one of my boys said, “Man I was so upset about losing those 5 points on my English test and now I have let it go.  This really works.  What did you all think about?”  You know you are doing something right when teenagers open up and start talking.  Thank you for this product and allowing me the opportunity to give my students at least 15 minutes a week to destress, calm down, learn to love themselves and just breath! Can’t wait to see what the future has in store for me and my students as we take this CALM journey.",False,calm,571800810,
Apelli0727,2,2021-04-29 00:01:18,"App is in accessible for blind user, buttons unlabeled","Hello, I really like the content on your app and it has really helped me to develop my practice. However because of the issues described in the title I probably will no longer subscribe to calm next year. I am blind, and use the screen reader voiceover. I can play the videos for the content well enough with play pause, fastforward but the biggest barrier I am facing is that the mountains which you tap on in the for you tab  to bring up the settings are unlabeled. I was trying to turn off the babbling Brook sound, accessible apps need to have text labels to accompany any clickable items. I would love to resubscribe once you have resolved these issues, buttons for the mood check-in feature are also unlabeled or nonexistent. The box breathing technique does not speak anything aloud or refresh on its own. A better way to accomplish that might be to use a metronome with 44 times signature. I am happy to speak to a developer more about my feedback and suggestions for how to resolve these issues, but I think that especially since healthcare providers are starting to recommend your service to their users, many of them who use Medicaid and Medicare and are disabled the app absolutely should be more accessible. Thank you for your timely consideration and namaste. I look forward to working with you in making the meditation community more inclusive.",False,calm,571800810,
a ds42gme,3,2020-06-24 04:02:44,Pls read,"Dear calm, 

I have had your app since my middle school years. I’ve got to say, your app was AMAZING with 15 sleep stories and 2 and 1/2 meditations, this wasn’t a problem for me because I also use headspace. Yes, they're your competition but I wasn't choosing sides. Anyways, over time you guys added feature that you really focused on for 2 weeks at a time and just gave up on it. Next, you decreased the amount of sleep stories which was ha a huge problem for me because I was NOT getting enough sleep to keep my grades up. It got so bad that I stole my mother's phone just to sleep (she Had the Premium subscription). So I was like, ”ok, I'll just use headspace ONLY for sleep and calm for meditation. Then, you took away the 7 days of calm AKA: YOUR MAIN TRIAL AND ONLY TRIAL MEDITATION LEFT after you premiumfied the 7 days of something (forgot). I mean like BRU, I have other options. I started using headspace which is a great alternative if you don't have much money. I recommend bringing back some stuff from premium and reduce the price. To counteract this, put one 15 second ad at the beginning. Of every session of meditation for people without premium. Therefore, there is more than one reason to get it and it's CHEAPER. That's a win-win situation. I hope you come to the right decision. Whatever it is, I probably wouldn't stop using the app. Thank you for your time.",False,calm,571800810,
