userName,isEdited,rating,title,review,date,app_name,app_id,developerResponse
Elijah.Luis,False,5,Game Changer,"I am a 24 year old nurse with mental health issues and I have a couple of bad habits I’ve been trying to eradicate for months. I’ve tried dozens of apps from habit streaks to accountability apps to online counseling. I installed this app with the intent to explore it and nothing else. But this app is so cleverly designed, it is hard not to love. There are attractive features in this app that will help you build positive habits. Yet, I believe the real hook is the story about you that develops, which happens when you successfully complete your goals. This app does an excellent job of not just making you think, but making you do, which is what I think is the epitome of mental health. It doesn’t just strive to improve your mental health, it strives to improve your overall function. The app engages you in multiple ways, which sets it apart from the traditional templates of regular one-on-one convos with people who only roundabout with Pinterest-like “inspirational sayings.” I’m genuinely more motivated, more functional, and have made more changes in my life the past two weeks since I’ve downloaded this app than I have in the last three years. Fabulous mysteriously makes it fun to remind you to be yourself and be healthy and happy at the same time, and keeping those streaks up can be pretty satisfying too. However you use this app, whether it’s for a day or for a year - strive to commit to it, and you will reach your happiness.",2021-03-26 05:17:55,fabulous-daily-routine-planner,1203637303,
Mommakelz17,False,5,This app is worth it,"I had previously come across this app in the past, downloaded it to see what the hype was and instantly deleted. Recently I came across this user who had recommended using fabulous to get back on track, and creating good, healthy habits. I’ve always been a routined person, but would fall off and struggle to keep track or stay on track. I would beat myself up and feel disappointed that I had to start over. After taking some needed time off for myself (especially during the pandemic) I am and have been working on myself to heal by getting back into creating healthy and happy routine for a better life. 

Just recently downloading this app (again) I wanted to put this to the test. Only after about a week of using this app, I will say that this app is by far one of the best apps I’ve ever used. It’s so gentle but so rewarding and honest about life and being “O.K.” With falling off track, making mistakes, counting the small wins, feeing appreciative, but the biggest one is making me believe in myself more by becoming the best version of myself. Mental health is so important and this app makes you feel like the darks do happen, but you can always come out on top. 

So if I had to say what is an app that works and I’m willing to spend the money...well, you’ve come to the right place.",2021-04-13 17:03:02,fabulous-daily-routine-planner,1203637303,
MrsPrado,False,5,Skeptically positive,I actually got this app a couple months ago when I needed so positive affirmations or medications to just kind of get through the day... as I started slinking a little further into a pretty dark depression I didn’t use it I actually deleted it for a bit and frustrated that I couldn’t get into to app. I thought this little story’s were annoying... then a few weeks back I had gotten so bad I wasn’t eating or taking care of my self at all I started searching for routine apps to just try and get myself taking care of myself to feel better... As I was searching I saw this app pop up and I remembered it did have routines as well. I re downloaded it and I can actually say for the last few weeks of using it. I’m starting to like the story’s and the guidance because I WAS READY... had I reviewed this app a couple months ago it wouldn’t have been positive because that’s not where I was... but I can now say thank you! Because this app is really helping me build better habits and stay on task and I check back on it often and now listen to the story’s because I know it’s going to get me to that next level of taking care of myself. As a Mom/Wife/ and in Management... Who has time for that? Right. Thanks again for a program that’s actually working for me.,2021-04-12 01:02:45,fabulous-daily-routine-planner,1203637303,
Only Lee Bay,False,2,Glitching out,"If this app was working right, it would be a five star app. But it is not and has not been for about two weeks. It’s been glitching, not allowing me to access today’s list of goals and routines to check off. My daily coaching option that’s on my routines no longer brings anything up to play for the day and instead just has a list of activities you could bring up. I bought the lifetime subscription and I’m kicking myself for it now that nothing is working on it. I’ve been using this app on and off for five years among varying devices without glitching issues and now all the sudden now that I’m on day 34 or so on my current journey, it’s just decided it no longer needs to work. 
Another annoying thing is that if you forget to mark the things off as you’re doing them and decide to mark it off later, it doesn’t seem to count it the same as though you didn’t actually do anything but are just checking it off. I find this incredibly annoying. Not everyone has time to stare at their phone after every activity on their list and check it off. I’m a busy person. Some of us want to check it off later, that doesn’t mean we didn’t do it when we are supposed to. Good lord.
Also, I’ve had to uninstall and reinstall this app several times just to get it to work. I shouldn’t have to do that. There’s plenty of space on my phone and everything else works fine. Why is this app so glitchy?!",2021-03-10 17:40:42,fabulous-daily-routine-planner,1203637303,
jeff_ames,False,1,***RIPOFF***SCAM***THIEVES,"Tried this app last year and didn’t find it all that motivating. No worries…everyone has their preferences. Forgot to cancel before my free 30 day trial was up. No worries…that’s on me. But I made sure to go in and cancel right away so I wouldn’t make the same mistake again. Imagine my surprise when I started getting ‘payment failed’ emails after the one year anniversary of the expiration of my free trial. Like, enough emails to be considered harassment. So finally, I responded to one of them and reminded them that they did not have an active credit card on file because I was no longer an active account holder. I received an automatic response saying how much they value me as a customer and they’ll try to get back to me as soon as they can, but they’re super busy. No worries - they can never get back to me as far as I’m concerned - the whole point of my email was that I was trying to get them to STOP contacting me. SOOO…imagine my surprise when I checked my credit card statement today and found that a week after my email that they were too busy to respond to, they MIRACULOUSLY found my credit card information and charged my account for another year!!! NOT fabulous. SNEAKY and UNETHICAL!! Oh, and if you’re wondering if they ever responded to my email…they did not. Too busy looking for my unauthorized credit card information, I imagine. So, unless you want a lifelong relationship with this company, I cannot advise signing up.",2021-05-28 21:58:14,fabulous-daily-routine-planner,1203637303,"{'id': 23241550, 'body': ""We're very sorry to hear about your experience and we appreciate that you've taken the time to share your feedback with us. It sounds like a 30-day trial was authorized. However, it failed to auto-renew. Then, the system made multiple attempts and sent multiple emails. We apologize. Regarding the delay, we've been receiving high volumes of emails. We work based on order received and we'll be working to assist you as soon as we can. In the meantime, if you received any automated emails after reaching out, then please ensure that you've successfully completed any forms in the email"", 'modified': '2021-06-07T13:27:47Z'}"
justletmereviewomg,False,1,"Beautiful UI, bad UX","So the path of slow and steady incremental changes makes a ton of sense. The kinds of tasks it seems like the app orients on, also seem well founded and useful. However, the way you interact with the app itself to achieve those ends is so confusing and unintuitive to me. There’s no one place to look at what I’ve achieved or how I’m doing, or which goals I might choose. Even after using it for a few days, I’m still unsure of where to find any succinct information or even which buttons I should be pressing. In addition, the way it offers me the option to make goals and follow up with those goals just doesn’t match the natural way I make decisions or the flow of my day. 
For example, I’d see the notification to drink water with bleary eyes immediately after waking up, but before my brain can comprehend. Then it disappears into the fog of slowly waking. This morning, I finally did get myself to immediately open the app and log that I drank water, then it promptly opened a loud animated cut scene which was pretty annoying for me, but even more annoying for the person asleep next to me. I hastily closed the whole thing. 
I’d really like to utilize the set of slow and consistent reminders that seem to be at the heart of this app, but what does it matter if I can’t actually figure out how to use it? Frankly, every time I open this app I eventually just angrily close it, and am left feeling frustrated. I’d never pay for it.",2021-01-02 21:48:28,fabulous-daily-routine-planner,1203637303,"{'id': 20472351, 'body': ""We appreciate your feedback and we're sorry to hear about the confusing interface. If you haven't done so already, then perhaps you could reach out to us with further details by completing the form after emailing hello@thefabulous.co or sending feedback from in-app (Tap the Profile Icon, then Help and Feedback). We apologize in advance for any delays. "", 'modified': '2021-01-18T10:12:50Z'}"
Msantg,False,5,Brought me back to myself.. and then some,"After going through a very dark period, and as someone who has struggled with depression my entire life, I can honestly say Fabulous helped bring me back to life, back to myself. I have spent decades learning self care and reparenting myself, but in the very dark times, it can still be challenging to come out the other end. In this particular instance, I truly needed my hand held and guidance back to my light. Fabulous gave me this gift and so much more. When in a state of depression, something as simple as remembering to drink water or eat a good breakfast or move my body can feel like a mountain to climb. Fabulous’ gentle daily reminders, along with lovely inspiring encouragement, made all of these small goals attainable again. If you’ve struggled with depression, you know the impact such small feats can have. I have been using the app for over a month now and after completing the first journey am feeling so much more energized and vibrant - I feel like my true self again. It has truly laid the foundation for me to continue living my life healthily and happily. In a word, Fabulous has become my greatest companion or ally. Thank you from the bottom of my heart.",2021-01-29 14:55:51,fabulous-daily-routine-planner,1203637303,
Netta Lynne,False,4,Overall a great app,"I have recommended this app to multiple people as it has been a great way for me to track my progress and receive consistent accountability. I love how customizable the routines are, and while there is guidance from the app, you’re ultimately in control of your experience. As far as feedback goes, I’ve grown to strongly dislike the background music. I understand the healing and relaxation properties that music can have, but I find these specific tunes very annoying compared to meditative sounds I prefer. I have muted the sounds during the routines and also went to settings to turn them off. Unfortunately it comes back on no matter what I do. I also believe that celebrating overall progress would be nice. In addition to longest streaks, acknowledging consistent attempts will encourage people even more I believe. For instance, I have never completed an entire week of my routines, but there was one week I tried everyday, and there were only two days I couldn’t fully complete. I like to celebrate small wins, and that to me was one. Other than that I love what the Fabulous team is doing with the app. All I ask is that you either offer different selections of background music and/or allow a muting option that actually works please.",2021-04-28 16:38:18,fabulous-daily-routine-planner,1203637303,
Jreeeezy,False,5,Great app to create and inspire new healthy habits!,"I stumbled across this app and thought I’d give it a shot. One of the things I suffer from is lack of accountability, I’ll procrastinate and avoid things of I can, choosing to lay around and be lazy if no one is telling me otherwise. This app reminds me throughout the day to practice new healthy habits that I chose to create a happier and more active me! The support from the positive community here and the inspiring little messages that come with goal completion give you that extra push to continue on the path you set up. I’ve only been doing it for a week and albeit a slow start, I am beginning to really see some new habits form and I love it! Be the healthier, happier you that you know you can and want to be. It’s as simple as saying “I want to change” and you don’t have to do it alone. Having served 10 years in the military I recognize the importance of support in trying to develop yourself into your goals. Except instead of a DI yelling in your face to push through, you have a supportive community that provides the same support, but in a calm and motivating manner. Different tactics, similar results! So happy I found this app!",2021-06-16 22:35:14,fabulous-daily-routine-planner,1203637303,
loudrockz,False,3,Good but frustrating,"I have a lot of personal goals that just seemed impossible, this app was great for me a person with add who rd DS to push up hill than and force things rather than stop and do the things that lead to self care and happiness. For me it’s recipe to self love. Make sure you read at least one page, meditate for a few minutes. I like the animations and the calming music that helps me to slow down and be in the moment. But sometimes I fall off the wagon and though the intentions are good, im forced to fill out a form that takes too long and ultimately discourages me from getting back into my routine. Sometimes the Home Screen is so cluttered with junk I’ll never read. I
Or I ignore. Perhaps the ui hasn’t quite been mastered to make me care of the flow needs adjusted? I need a way out sometimes.  I also suggested to my partner to give it a shot, I really sold it to him because he’s doing self care work. The initial onboarding sent him into an eye roll and I’m certain he will never open it again. Which is sad because I feel like he could e joy it. I’m a designer and I get wanting to be the be all comprehensive app. But it feels like it’s gotten a little unwieldy. You need to give people some space and not force them to do it your way.",2021-04-15 14:56:57,fabulous-daily-routine-planner,1203637303,
