title,userName,rating,isEdited,date,review,app_name,app_id,developerResponse
Favorite Self-care App,SolitaryBridge,5,False,2020-03-27 13:09:49,"I’ve had this app since Beta-testing it a few years ago. I don’t typically use apps like this because most don’t seem to have real direction or a variety that fits. I let this one sit for a bit before coming back to it during a stressful period, and I was pleasantly surprised! I like that I can extend my tracks now considering I don’t come back here everyday, and the personalization is dead on for me! It goes hand in hand with where I’ve needed to grow yet lacked a clue where to start. My therapist very much approved too! I’ve since “graduated” trauma-informed therapy, and this app has helped me in moments I’ve needed to simply be reminded of my newer mental toolbox. It doesn’t overstep any spiritual boundaries for me either (I’m a pastor). Thanks!!!",happify-for-stress-worry,730601963,
highly recommend,AbeGonzalez,5,False,2020-01-23 21:24:03,"using Happify allowed me to see the difference in my happiness from week to week. in addition, it has allowed me to further gain insight into my positive emotion and life satisfaction through its features that allow me to score on: savor, thank, aspire, give, empathize and revive to gain further insight in my well being and happiness and how to keep score.",happify-for-stress-worry,730601963,
Great but...,* carolmonique *,4,False,2020-02-02 05:47:34,"It's a great app. I can see how it helps people, but when you wanna do some games or other features it tells you to pay or join then membership. I get that a service should be paid for, but not everyone has the money. It's not fair that you can't get the full help/experience you need just because you don't have the money.",happify-for-stress-worry,730601963,
I highly recommend this ap,shaynemoth,5,False,2020-04-04 18:25:26,I don’t have access to mental health treatment/therapy but this is a good alternative for now. It helps me practice positive thinking and being aware of how my thoughts affect my wellbeing. Some of the games seem kind of useless but there are other things that have helped me a lot.,happify-for-stress-worry,730601963,
I hope it will be god for you,Muhtasom,5,False,2020-05-09 02:10:18,It’s helped me lots so far I am feeling better then before I have done only one but it’s helped me I am becoming more happier I was depressed but now I feel very good about this and think if I do more I will not be depressed anymore. I hope it works out for you to.,happify-for-stress-worry,730601963,
Wonderful,Krist0n,5,False,2021-01-03 04:35:04,This app really changed my life. Ive been struggling with my borderline personality disorder and extreme anger. This app has shown me how to focus on the positive and push past negative moods. I still struggle but my life has improved far more than I ever expected. Thank you for making this.,happify-for-stress-worry,730601963,
This has really helped me not feel as lonely as I did before,#rainbow lover,5,False,2020-03-27 17:23:50,I love this app bc it helps me feel happy and I get to talk to some ppl and share pictures and I think that makes me happy to havto have have freinds  on here it makes me feel good about myself I really do recommend this app,happify-for-stress-worry,730601963,
Happy,PeaceLoveJessica,5,False,2020-03-22 13:26:03,"This app isn’t pressuring to me, it tells me that I have to work at something to get results which is how good things come in life. It has helped me out a lot in times of need. Very satisfied. Thank you Happify 😊♥️",happify-for-stress-worry,730601963,
Life changing,Toyotalove_90,5,False,2020-11-07 13:52:01,I have been struggling with self esteem and depression. This app is AMAZING by giving you the tools to change your mindset to being a happier individual and goals to focus on. I’m so thankful to have found this app!,happify-for-stress-worry,730601963,
Rest Password Doesn’t Work,Jus Sayn,3,False,2021-02-20 22:06:57,I haven’t been able to use the app because I can’t rest my password. I get the rest password email but it takes me to the website where there’s nothing there to help me rest my password. I’d rather use the app than the website.,happify-for-stress-worry,730601963,"{'id': 21215857, 'body': ""Oh no! We sincerely apologize for the troubles you've had with the app. We'd be happy to take a look into this for you, please contact us at support@happify.com. Thank you."", 'modified': '2021-02-22T14:30:01Z'}"
Love this app❤️,not that dory,5,False,2020-06-09 18:27:02,I found this app at exactly the right time. The activities have given me something positive to focus on through these difficult times and I’m so grateful I found it!!,happify-for-stress-worry,730601963,
Game changer,Wernicki,5,False,2020-07-06 03:33:21,I resisted my husband’s suggestion to try Happify for 6 months. I’m kicking myself now. It’s really helping me deal with my anxiety in between therapy sessions. I’m actually happy for the first time in forever.,happify-for-stress-worry,730601963,"{'id': 16704017, 'body': ""Thank you so much for the review and we're glad Happify is helping you along on your wellness journey! We would love to use your review as a testimonial on Happify. If we have your permission, please email us at support@happify.com and we'll let you know a few other details we would need from you. "", 'modified': '2020-07-17T15:46:18Z'}"
Constant issues logging in,unhappifyapp,1,False,2020-09-02 02:20:45,"The first time is used the app after downloading, everything worked great. Now every time I try to open it I get an error saying “there was an error processing your request.” Only by uninstalling and reinstalling the app am I able to log in, but then only once because after the app times out I get the same error message.",happify-for-stress-worry,730601963,"{'id': 17827494, 'body': ""We're sorry you encountered some issues with our app. If you email us at support@happify.com, we would like to look into this issue further."", 'modified': '2020-09-11T13:30:49Z'}"
Server errors,Deekem,5,False,2020-04-26 22:47:07,I need to use this app to earn wellness points for work but the app on my IPhone 11 will not let me login and just keeps circling. Beyond frustrating.,happify-for-stress-worry,730601963,"{'id': 14973458, 'body': 'Please contact support@happify.com. You may have the wrong version of our app and our team can send you instructions on how to download the right one.', 'modified': '2020-04-28T18:03:44Z'}"
Have to pay?,please be reasonable,3,False,2020-08-12 05:34:37,I get they have to make money but I don’t have any at all I’m young and my anxiety leaves me shaking and trembling on the floor. I need an app that I can just open up and use to calm me down. Not one that gives me limited options unless I pay,happify-for-stress-worry,730601963,
So far so good,AngBtmn,5,False,2020-06-14 21:24:16,I am enjoy this so far after a couple of weeks.  I really wish you’d create a kids version.  🤞🏼,happify-for-stress-worry,730601963,
The worst.. just got and I’m so stressed out,dancinbecause,1,False,2021-02-04 03:08:37,"I couldn’t figure out how to get the correct 
Information to the coach . Info was limited. They cut you off and don’t let you complete your end of the chat.

My anxiety level is so high and  I just downloaded this app an hour ago. But have spent most of the time trying to delete it!!
👎🏻👎🏻👎🏻👎🏻👎🏻",happify-for-stress-worry,730601963,"{'id': 20931234, 'body': ""We're sorry you encountered issues with our app. You may email us at support@happify.com, we would like to look into this issue further."", 'modified': '2021-02-08T14:51:05Z'}"
