title,isEdited,userName,date,review,rating,app_name,app_id,developerResponse
This is the BEST app by far for mindfulness,False,Crazy Yorkie Lady,2021-02-22 18:13:54,"It’s almost embarrassing to say this, but I have been a “meditator” for about 30 years and I have to say that I never really got very much out of doing it.  I tried so hard, but I’m finding out I never truly understood that “trying” to be a good meditator or mindful person, was missing what doing this was about.  What I’m learning through this app is that “mindfulness” is about me - understanding myself first, and it’s a lot about acceptance.  So with that understanding and acceptance I can begin to see “things” so much more clearly and why previous ways of thinking, particularly about myself, were holding me back from living my life and loving myself.  And I’m finding that the more I practice self acceptance, the fears about living fully and going after what I want out of my life, are disappearing.  
The previous version of myself is rapidly becoming someone I only used to know, and this new ME is much more in line with who I’d always wanted to be.  I’m able to try and do so much more, all while in the comfort that I am lovable, even if I fail at something.  I simply dust myself off and try some more.
This app has completely changed me and the way I’m able to appreciate all the good that’s in my life.  And I’m worthy of going after the things I want for my life, while freeing me up to share my gifts with others and society in general.
If this is where you find your life stalling out, this app will bring you back to yourself.",5,headspace-meditation-sleep,493145008,
Facing down the rabbit hole,False,KLC-MHFL,2021-02-12 12:42:11,"I discovered Headspace on Netflix. My life is a series of invitations to succumb to fear. My husband is a practicing psychologist who is on peritoneal dialysis for 10 hours every night and works remotely with patients for about 10 hours every day without complaint. We have been waiting for a kidney for two years. I am optimistic by nature but even if this was the only focus for concern it would be a lot. Unhelpfully, the list goes on with equivalent issues. I can’t work; I need to be on call because I am the go-to for support. I occupy my mind and time writing a book and renovating every room of our home one at a time amidst being available for nine blended (mostly grown) children and 5 grandkids, many of whom have special needs. I am busy but isolated like so many due to covid-19. Trying the Headspace series felt like meeting air; filling the natural and effortless need to breathe. It has provided me with a new lens through which to focus on challenges and see potential. I incorporate it into my waking routine at dawn and it positions me for whatever happens throughout the day, and differentiates a space that is my own. I turn 61 this month and for maybe the first time in a while, life feels lighter and brighter. It’s not about what you fear or can’t control or even the fact of fear. It’s about the lens through which you interpret your fears or challenges and making them your strengths and allies. Thank you Andy :-)",5,headspace-meditation-sleep,493145008,
A Bright Spot in a Dark World,False,Ashabashley,2021-02-11 06:22:38,"You won’t regret buying a Headspace subscription. I often joke with people that Headspace is the one thing I would want to take with me to a desert island. If I were to cancel all of my subscriptions today, Headspace is the one exception I would make. I’m a high school English teacher, and our administration put together a month-long mindfulness education program for our students shortly after I subscribed. I had already raved to many of them about the app and the benefits of taking a couple of minutes out of their day to sit and be present. Lo and behold, Andy pops up on the next slide as our Ted Talk speaker of the day! On a more serious note, I suffer from debilitating chronic pain. I’m currently on long-term disability and a leave of absence from the classroom. Mindfulness, and the courses on managing pain, have been a tremendous help in my journey. Not only that, but I struggle with insomnia. My favorite part of Headspace, because of my (admittedly) vivid imagination, are the sleepcasts. I love falling asleep to Rainday Antiques. I can’t imagine doing anything but that ever again. I have learned to manage stress and anxiety in a way that I had never thought was possible. I have meditated in the waiting room of The Cleveland Clinic before my appointments. I once laughed at the idea of mindfulness and meditation. Now it’s an integral part of my life. It’s part of my journey, and I think everyone could benefit from it.",5,headspace-meditation-sleep,493145008,
The most useful thing I’ve done in 2020,False,Kindly38,2021-01-18 17:14:21,"This app has given me tools to deal with constant change. This past year, I’ve needed to pivot every day to face some new challenge outside as an essential worker, and at home in isolation with my partner. The tools I Iearned to use to be present in the moment and to accept change has benefited my partner and colleagues at work as much as my own peace of mind. I have very little control over my environment, but I can see my reaction, accept the emotions that rise up, and move on instead of getting lost or bound by them.
This app has also benefited me by helping me get through insomnia. Sometimes it helps me get to sleep in the first place. Mostly it gives me tools to use to calm my mind and body when I wake up in the night buffeted by anxiety or lingering frustration from the day. 
Lastly, this app has given me a language to express the emotional upheaval and troubling questions that I used to just call anxiety. Naming what makes me feel upset has brought clarity to what can feel like a tempest at the time and allow me to look at my thoughts or, rather, face them. After acknowledging them, I can let them go. Sometimes I’m better at that than at other times. 
Regular exercise strengthens my focus, my ability to pivot and refocus, and builds roads of calm and quiet that the brain finds easier to fall into and travel due to constant use.",5,headspace-meditation-sleep,493145008,
It’s a Miracle App!,False,jlhuggins,2021-02-08 19:19:10,"This app has helped me so much! When I am suffering from stress, health anxiety, or fibro/stress related body pains I turn to this app and go through some meditations with the teachers. It’s an excellent way for me to relax. Calm my mind. Stop thinking about myself. And to recover in the moment. Hopefully in time this will help me heal, as previously I’ve just been getting worse and worse without any therapy since my therapist’s practice permanently shutdown from COVID. This has been a great help and is something I can just pull out of my pocket and sit in my bedroom for a bit to calm down. Well worth the 1 year subscription price I’ve paid. Thank you! 😊🙏🏻

*There is only one thing that I’d change. This would be for some of the workout audios. I need to walk a lot for a heart condition I have (which is a big cause of my health anxiety), and I’d love to see the audios for walks and runs to be a bit longer. The longest run audio I see is 20 minutes, when recommended cardio workout lengths realistically should be at least 30 minutes. I’d really like to have an audio similar to the bedtime audios that are lengthy, have soothing talk, and tips to reduce anxiety made to be listened while walking. And if there could be a variety to choose from. Overall this would be the only change I can think of. An hour long walk audio to help calm my mind. 😁❤️",5,headspace-meditation-sleep,493145008,
Grateful for headspace,False,Discosuperflame,2021-04-28 14:52:38,"I freaking love this app. My anxiety was starting to become bad again and I could feel myself falling into depression. I have some experience with meditation and mindfulness and it’s helped me in the past but I’ve never been able to stick with it for more than a couple of weeks at a time. Then one day while listening to Huberman’s podcast there was a month free trial and I decided to try it since I’ve always wanted to give this app a go anyway. WELL, let me tell you...this app is changing my life. I am proud to say I am on my 33rd day streak. I can feel myself overall being more present and aware throughout the day. Now, when I start to feel anxious I almost immediately catch myself and can begin using some of the tools and practice I’ve accumulated from headspace. I do want to add though, the key word is PRACTICE. Medication, like Andy says, is a skill and like any skill you must practice. By practicing enough, it does truly become second nature. I know it’s only been a month but I can already feel the difference and I am looking forward to the future. Thank you headspace team. P.S every little thing about this app is great. I especially love the different courses, the wake ups, the animation shorts, the sleepcasts, the focus music and yoga.",5,headspace-meditation-sleep,493145008,
"Headspace is a excellent, but isn’t truly free",False,VictorAllThingsTech,2021-05-17 19:06:05,"I heard about this app on tv and saw ads in The Today section of the App Store. I decided to give it a try and it really does help me out. I feel less stressed, calm, and feel ready for anything. It’s like a guide or tool which helps push you to be a better you. So then comes the question, is it worth it? I think so. For instance if you have ADHD or feel stressed most days (maybe because of work or school) use this. 

Everything is not sunshine and rainbows. For one, $13 to me feels somewhat pricey. Other meditation apps that I found are cheaper than what Headspace currently offers. Another thing is that it lacks free content. There’s only very little that Headspace offers and it’s not a lot. It’s almost as if your forced into paying for a subscription in order to use it. I really didn’t want to do that and I have now canceled it since I felt that it was overly priced. 

Headspace is great and I may say that’s is better than most apps I’ve used. But I don’t like the fact that after going through the tutorial it locks most of the content Headspace offers you and forces you into a subscription that feels overly priced. Yeah, they give you a free trial but after that your pretty much forced. Offer more videos that are free and let people decide for themselves. If you do those things I may bump my stars to 5.",4,headspace-meditation-sleep,493145008,
Very good but expensive,False,FortnitePro#1,2021-01-11 02:30:38,"So I’ve been using headspace for quite awhile now and personally I think it’s great! But the thing is since I don’t have premium, I have to keep on repeating the same old things like the rain day antiques sleepcast I’ve heard that sleep cast so many times and now I keep getting annoyed with it. That goes the same with the other sleep stuff too like the sleep music I’ve heard “doze” so many times I wake up like every 30 minutes or so. Also goes the same with the two free wind downs. The first time I used the free wind downs I fell asleep instantly the second time after that I couldn’t sleep for ten minutes. So after that, I wanted to do a free trial for the premium but I didn’t realize I was short on money. Since most people do a free trial for like a week or so they cancel there payment the day before the payment is due. So I tried doing that but it asked for but then I realized they need to know my payment information before doing my free trial. I think it was because they don’t know if I’m gonna cancel my payment or actually do the payment. So yeah, I think this app is amazing it just needs to either lower down the price by like 3-4$ or maybe add one or two me free sleepcasts and same goes to the wind downs, and music. Thank You.",5,headspace-meditation-sleep,493145008,
Life changing,False,vmonjian,2020-10-04 01:59:51,"This app and Andy’s gentle and soothing guidance in it have absolutely changed my life for the better and in a big way. I’ve been meditating using the Headspace app as regularly as I can with a run streak of 180 days once. The streaks do not really matter, but staying consistent does. I consider the guidance and wisdom that Andy imparts in the app therapeutic. Friends, family and colleagues regularly tell me how much more serene, kind and patient I have become even in very tough situations. Those attributes would have never been applied to me had it not been for this app. The packages are godsend, like on patience, kindness, generosity...etc. Each package has ten guided sessions. Once I’m done with one package I either start again (some I’ve done more than 20 times) or start another one of my favorite packages. No, I’m not paid to sponsor these guys. I have not only gotten it (I.e. paid) for myself, but for my wife too. I’ve also offered to pay for friends’ or relatives’ apps too. Don’t think twice about it. Read up on the amazing benefits of meditation (physical, emotional, even spiritual) and then just cough up whatever Headspace charges. It had been the best investment of money and time I have made in my life. No exaggeration.",5,headspace-meditation-sleep,493145008,
Superior,False,Gingerooney,2020-01-05 00:54:47,"As a TM practitioner I wasn't initially drawn to this app.  However it was recommended repeatedly by health practitioners as I struggled to be consistent with my sitting practice. Finally I gave in and it's been a wonderful asset to my meditation practice. I use it as an anchor and I enjoy the presentations as well as the guided series and singles. The SOS and now the many other options are great. Being able to grab your phone and calm yourself in stressful times is amazing.  Headspace has continued to improve adding more and more options and modules. You can stick with classic guided or semi guided meditation, or silence, add music or learn how to use mindfulness on a broad range of issues from speaking, sadness, grief ...  you name it. I love the special section on sleep. The educational aspect is beyond compare and you can watch short videos.  I still have a strong preference for Andy Puddicome’s voice and hope he never tires of doing this, but glad the options are there for others.   This simply is the best app for meditation and for mindfulness. THE BEST. I highly recommend this to anyone--from those being introduced to meditation and/mindfulness to the experienced practitioner. You're in good hands here. Easy to use too. Very intuitive.",5,headspace-meditation-sleep,493145008,
