rating,isEdited,review,userName,date,title,app_name,app_id,developerResponse
5,False,"I don’t write reviews for apps. I felt compelled to do so for this one. First off, i have been trying to get into the practice of meditation for several years now. I’ve tried classes, doing it on my own, and various other apps: Calm, HeadSpace, etc. Problem with those apps is they all charge you a monthly fee after the trial period. This is the only truly free app for meditation. Once I got into it, it’s laid out so beautifully, easy to find specific meditations, and its so user friendly. I really found myself looking forward to meditating after the first couple of days. It is now a part of my morning routine and i could not imagine my life without it. They do offer courses in addition to the over 45,000 free meditations. I fell in love with one meditation guide in particular who led a Smiling Meditation which literally brought happy tears to my eyes while meditating! I found that she offered a 10-day self-confidence workshop. I wound up going ahead and purchasing the yearly membership for $65. Well worth it to me bc i don’t think I could run out of courses or premium content on this app! Could not recommend enough! If you have had other apps collecting space on your phone, do yourself a favor and delete them! Get Insight Timer!",sober mama,2020-07-30 11:19:25,Best meditation app hands down!,insight-timer-meditation-app,337472899,
5,True,"I love this app and use it daily. There are so many content options it’s a bit two sided—it’s a lot to sort through. My biggest pretty please wish is that it return to saving my preference to sort my bookmarks from short to long. It used to remember the last sort setting, but for some reason it was taken away (and the bookmarks kind of buried) a couple of versions ago.

Edit: I still enjoy this app, but with each new version I’m a little disappointed. I had liked the opening screen with the map of where people were meditating, but also that it wasn’t more than that, as meditation is a private thing. A quiet connection felt much more comfortable. It feels much more commercial now—I’m constantly being advertised at with smiling headshots. I doubt that would change if I subscribed, and I’d prefer to buy rather than rent the app anyway. It’s also constantly being redesigned, making it hard to know where to find things. And the last update completely took away the ability for me to sort my bookmarked meditations from shortest to longest, which I really preferred as my default and used to be able to set it to.",Braveorchid,2020-04-12 06:55:55,Almost Perfect,insight-timer-meditation-app,337472899,"{'id': 3061395, 'body': ""Hi Braveorchid - We're so pleased to hear you love the app. Thanks for taking the time to  provide useful feedback. With much gratitude."", 'modified': '2018-04-08T04:36:24Z'}"
1,False,"Update — now three years in & would prefer it stop being so commercial. Meditation is not complicated, does not require going to class for the rest of your life. Those of us who just want to use the timer function — it gets put in with constant ads in your face. It is shameful actually that an organization that says it wants to make your life better pushes you to do routines and classes that actually detract from getting from point A to point B. Oh well, if the times keep getting stuck behind commercialization, at least I’m not addicted to these classes at all, I can use alternative timers or none at all.

I still mostly use it for the great sounding sequential timers. Who wants to be blasted out of their session? Not me, and this app provides quality sounds to let me first relax, sound so I know to move into my first part, then when that time has passed, sound, so I know to move into my second (rest) part, then a nice gentle sound to let me know I can comfortably open my eyes and end my ""meditation"". Works perfect -- and is all I need to use -- I can add friends when I have extra time or browse the ""forums"" but totally not necessary to do Turning Within meditation (Kelvin Chin) -- a sort of hybrid of TM, a sort of mantra meditation. It has made a world of difference and this app helps me keep my place and incidentally tracks the days that turn to weeks and months. Very happy with this app!",KonaHIMike,2020-10-10 04:03:55,70+ days in and still LOVE this app!,insight-timer-meditation-app,337472899,
5,False,"The review button on the site is broken and users are no longer able to update old reviews that we have written or leave new ones. This problem started about 2 weeks ago. I have emailed the app about 6 times over this period, but nothing has been done to fix the problem. 

I am in the habit of listening to new meditations and then leaving reviews (which are never negative) so I know which meditations I have already listened to, which I love or merely like. I enjoy reading the reviews of others as well. So the fact that this review button is not working is a problem. 

Otherwise, I love Insight Timer. I have been using it for 3 years and 3 months and have clocked over 10k minutes of meditation. The topics are varied and interesting. I bounce around a lot to new meditations based on the topics I am working on in my life. I find some of the meditations to be incredible and in the style I enjoy and others to be just good, in my opinion, but not my style. That is why the review button is so important, so I don’t unintentionally begin a meditation that I have already listened to in the past and just found to be ok, but unmotivating to me.",Lunabeat,2021-05-26 18:29:09,Unable to leave reviews for meditations,insight-timer-meditation-app,337472899,
5,False,"I like that it's versatile enough that I can also use it when I want to do yin yoga where I hold each pose for five minutes. Over time I've been starting to use features I thought I didn't even want at first, like joining groups and listening to guided meditations. This app has everything. (And if you just want a timer that starts and ends with a gong sound, it can do that too, although it does take long enough to load that if you just want a timer you might want something simpler.) Really I'm kind of astonished that subscription-based meditation apps even exist, given how good Insight Timer is.

One minor complaint...I do wish there was a way to opt out of being shown your “streak” at the end of every meditation session. I realize many people appreciate the feature, but I would really, really like to be able to opt out of it. It’s like a little guilt-trip when I miss a day or just...meditate or do yoga without using the app. Or, when I do have a good streak going, I’m still irritated because I don’t want to be “rewarded” for using the app each time.",Flamingjellyfish,2020-01-28 02:22:03,All the features you could want and then some,insight-timer-meditation-app,337472899,
5,False,"Insight Timer is by far the best meditation app available, I’ve tried all the top apps and nothing compares. Most of the other major meditation apps are focused on selling you hardware or a subscription - Insight Timer is free and has additional content you can pay for but it’s not built as a “money machine” the way the others are. Plus, there are legitimately excellent, experienced and trained meditation instructors like Tara Brach who post free guided meditations to get you started. My only “complaint,” if you can even call it that, is that there is now a TON of essentially worthless “woo-woo” visualization exercises and “healings” posted by an increasing number of “meditation teachers” who clearly have no training or credentials and are just using the app to build an audience for their personal brand. It didn’t used to be like that, but now it’s common to see three pieces of new-age nonsense for every one actual guided meditation. I worry a bit that beginning meditators would easily get sidetracked down an endless rabbit hole of “mind candy” and miss the core point of meditation - training the mind to be present, empty, and completely open.",SammaSam2012,2021-01-13 16:30:48,Best Meditation App By a Mile,insight-timer-meditation-app,337472899,
3,False,"I really love this app. I’ve been using it for several years now, paid and unpaid, and it does not disappoint. I have tried other products and they do not work as well. Unlike other consumers, I do not want a social network, I want a sleep app, and this one absolutely does the trick. The problem is data collection and an utter lack of any privacy rights, including third party giveaways. I was completely prepared to renew the paid version, and then I fully read the, in my opinion, wholly illusory “Privacy Policy”. 
However, I have requested opt outs and “shine the light” under the California privacy rights laws TWICE and I have heard nothing. (I understand that this app uses Google Cloud AI; there are cookies that can stay in place for two years. This, it seems, has added to the value of the app due to automation eliminating costly pesky customer service.) Now, perhaps other people are just hunky-dory with giving literally all of their personal information out with no limits, but I’m not one of them. I’m waiting to renew until I hear something about addressing my legal California privacy rights. (I’ve read in other places that there is little customer service for this app and I believe it.) Just do the right thing.",SMDOK,2021-06-05 20:49:44,"Wonderful app, illusory privacy “rights”",insight-timer-meditation-app,337472899,"{'id': 23254927, 'body': ""We'd like to thank you for taking the time to write this review of the app. We would be happy to receive suggestions from you to further improve the app. \xa0We'd really like to get some more specific details and be able to update you directly so if you would be so kind as to give us your details in the form below it would be of great help. Just copy the text below and paste it into a new tab in your browser. http://insight-timer.freshdesk.com/support/canned_forms/bf76e7840df87c88b2b4bb54c9de4c91"", 'modified': '2021-06-08T05:41:39Z'}"
5,False,"Truthfully, there is no better app for meditating whether you are just beginning your journey or have already found and are simply improving your zen. You’ve found the app you are probably looking for. The guided meditations are my favorite because my brain has a habit of wandering off to things I need/want to do later, maybe a conversation that already happened, where the person is going whose loud car just drove by... so listening to someone else guide my thoughts into focus by following my breath is EXACTLY what I never knew I needed. They have tons of instrumentals you can choose from, which I have used before and practiced yoga or just worked on something with it playing in the background. Oh my, and endless sleep sounds like will knock you ouuuuut. The actually timer within the app, I honestly probably use the least. So, if you are on the fence about if this should be the one you download because you don’t just want to delete after a few weeks or months because you didn’t get out of it what you thought... you do what you choose. ✨",ErikaLMoon,2021-04-28 09:33:00,I’ve been using Insight for YEARS!,insight-timer-meditation-app,337472899,
5,False,"I love so many things about this app. First all the meditations, playlists and live feeds are free. It’s really important to me that everyone can have free access. That being said, I upgraded to get the extra perks, but mostly to support IT, so it they can continue to offer all the free stuff. That’s the goal. One can also contribute to individuals teacher, one can support that way which starts at 1.99 (US). Drawbacks: it can be overwhelming when one first encounters it, but the daily suggestions, playlists, and live feeds introduce new teachers & meditation types, mitigating the overwhelming number of meditations. So do the search features. The other drawback, in my opinion, is it’s seems they aren’t vetting their contributors as carefully as they used to, and some teachers don’t have credentials in meditation, mindfulness, yoga...., but they consider everyone an expert. Still I highly recommend it for beginners & novices. It’s changed my life for the better, and I recommend it to my therapy clients, many of whom have started their own practices. I am grateful a friend recommend it to me.",Cateink,2021-02-13 13:42:43,Try it. You’ll like it.,insight-timer-meditation-app,337472899,
3,False,"Overall I think Insight Timer is pretty good.  There is a ton of content you can access for free.  It can be a bit to dig through to find what you like, but once you do, it’s a great resource.  However, if you’re listening to a talk and want to skip back a few seconds so you can write something down, tough luck.  There are ‘skip back’ and ‘skip forward’ buttons but if you click them you’re redirected to subscribe so you can access the ‘advanced player.’  The abundance of free content means I’ve never felt a need to shell out $60 for Member Plus status.  I’m certainly not going to for the privilege of rewinding.  Also the rating system is weighted towards good reviews.  I started listening to a 45 minute talk that turned out to be very amateurish and condescending.  I discovered that Insight Timer requires you to listen to at least half a recording before you are allowed to review.  I understand why they do this, but it seriously skews results.  No one is going to sit through 23 minutes of that talk just so they can leave a review.  With this policy in place it’s highly unlikely you’re ever going to see less than a 3.5 star average review.  Just something to be aware of.",Tiigraine,2021-03-24 15:25:06,Have to pay to rewind,insight-timer-meditation-app,337472899,"{'id': 23146516, 'body': ""Thank you for your feedback. We apologize that we did not satisfy your expectations. We strive to provide the best experience and your happiness is our number one priority.\xa0We'd really like to get some more specific details and be able to update you directly as we fix it so if you would be so kind as to give us your details in the form below it would be of great help. Just copy the text below and paste it into a new tab in your browser. http://insight-timer.freshdesk.com/support/canned_forms/4ce5500c16deec16db13ba568858c20d"", 'modified': '2021-06-02T07:43:19Z'}"
