review,rating,date,isEdited,userName,title,app_name,app_id,developerResponse
"4.3
This app has a lot of useful information to help people understand the thoughts in their head. With great information on what depression is, the symptoms, and the treatment that all are based on factual information that I have learned in my college psychology classes. This app, developed by a group of experts in psychology can be used for many different things like keeping track of how you felt on a certain day as it gives you reminders to get into the app and let them know how you feel every morning, evening and night. You also will receive and assessment every 14 days of your emotional health that is based off your daily journal. This process repeats itself so you are able to track your progress. I am a big fan of the different “courses” that you can take and learn about that also give you exercises to help with what you learned in that course. There is a lot of upside to this app and it can feel like and easier route then actually seeing a psychologist especially with the scientific accuracy and detail this app can give. But, I wouldn’t substitute it for a real psychologist especially if you are experiencing severe symptoms. But overall this is a great app to help you log how you feel and learn information about depression that you would be able to learn in a psychology class.",4,2020-09-22 20:27:42,False,"C,Isaac",Solid app with very helpful information,minddoc-your-companion,1052216403,
"I really value this app for requiring me to check in with myself and recognize how I’m feeling. It has been invaluable for that, because otherwise I just won’t and then wonder why I’m suddenly spiraling into depression. 
That said, I wish this app saved data to my phone. If I’m not on WiFi and have to use my subpar carrier’s data instead, I have a mini-panic when I open the app and don’t see the months of mood logging I’ve done, because it apparently isn’t stored on my phone, but (I’m guessing) on their servers or cloud or whatever. Along the same line, if I have to connect over my carrier’s data instead of WiFi, it will take FOREVER to load. I’ll get the notification that it’s time to answer questions, but then the questions will take a few minutes because they aren’t already on my phone. 
There are sometimes other issues where if I decide to answer questions a little bit before the time I’m supposed to, it doesn’t save my responses and instead, asks me again. These issues seem tied to just having that information stored in the app but on the phone, but I’m no engineer. All I know is I like this app but I wish there were other features or storage options that wouldn’t give me a panic or make me agitated when I’m in an otherwise good mood.",3,2020-03-12 21:00:09,False,Arielle_E_,Needs Some Features,minddoc-your-companion,1052216403,
"I was really excited about this app at first, but after two months, it became just an annoyance. It asks about 3 questions from a small set of questions every day. It doesn't ask any questions to determine if the way you are feeling is due to stress. It doesn't address anxiety (even though it says it does in the description). The ""how are you feeling"" section at the end of the questions is arbitrary, doesn't get monitored or considered in your report at all. The insights it gives aren't helpful. When you are ""having a mild depressive episode"" it basically just tells you to just be happy.....I am giving it 3 stars because the way the app is set up has lots of potential to be so thing good. But for the amount of time you give it each day, you don't get much useful out of it. But is free and you get what you pay for.
I would be willing to pay a monthly subscription to this app if they expanded their data collections and analyzing, even if they didn't give a ""fix it"" insight, though I'd be willing to pay more if it had actually helpful tips to overcoming the problems it finds.....so it's not bad, but it's still in the baby phases of a becoming a great app. I deleted it for now. I may revisit it next year to see if things have improved.",3,2020-09-17 03:57:51,False,True Critic Reviews,It leaves a lot to be desired,minddoc-your-companion,1052216403,
"Many of the questions need a “sometimes” or maybe an “other” button, they are hard to just answer “yes” or “no”. For example, “Have you been thinking about death recently?” There’s only a yes or no answer. I picked yes, because it was only a few days after the anniversary of my sister’s death, and also my deceased father’s birthday, plus one of my friend’s child had recently died. A chat box popped up immediately after I answered yes to the death question, asking if I thought about my death or self-harm, etc., but again, there are only yes or no answers. I understand that the answers have to be able to be entered into an algorithm that is computer-analyzed, but there still should be some way to expand on some of the answers, even if those “free texted answers” have to get analyzed by a real person instead of the computer. I do think that offering resources when someone answers key “trigger” answers is wonderful, to give help to those people without a mental health counselor. 
I have not yet finished my first two weeks of using the app, so my data has not yet been compiled into a report. I have an appointment with my counselor next week and I hope to be able to take my Moodpath data with me to the appointment.",3,2020-02-27 22:19:07,False,tmcossa,Good app but needs tweaking,minddoc-your-companion,1052216403,
"According to Moretti and Peled, depression is one of the most common issues of adolescence (2004). Adults experience a clarity of adolescent memories referred to as the reminiscence bump, likely the result of many firsts during this developmental stage (Steinberg, 2014); journaling and clarifying thoughts and emotions on these firsts can help in reflection and self-assurance. Additionally, Steinberg addresses the three R’s of adolescent brain development: reward, relationships, and regulation (2014). MindDoc would be helpful while the adolescent brain is in this stage of neuroplasticity; its design initiates reward-seeking behavior of completing tasks, and the acknowledgement of positive and negative emotions can help a teen learn to self-regulate. If a teen can recognize a pattern in their manic or depressive symptoms, they should be able to project that interpretation into their future and hopefully avoid or at least curb any risky behavior. While this app states that it is appropriate for ages twelve and above, it may be best for adolescents sixteen and older, during the time that their brains are better attuned to problem solving and abstract thought (Moretti & Peled, 2004).",5,2021-02-01 19:41:43,False,ShelbyinSOWK615,Great for teens and young adults,minddoc-your-companion,1052216403,
"I haven’t gotten my results back yet. But I just love how it is all set up! With the questions and the options/scale to tell how much things are bothering you. I downloaded several journaling apps and this one has been my favorite. Because of the way it asks you questions daily and things are modified based off your answers. I also love how it asks three questions a day, so I could figure out at what time I started feeling better or worse, what time my meds started and what time they faded, the question feature is super helpful. I also love how it doesnt only have “happy, sad, or mad” as emotions, but other more specific ones as well. It is difficult for me to just type and journal because I end up typing way to much about my feelings. So having adjectives to pick from was very nice, so I could just type about how I felt. The only complaint I have is that I cannot go back and edit my entires once I post them,  if I messed something up. I’ve only been using this app for a week and I’m already loving how easy it makes observing your own emotions.",4,2020-02-24 00:03:22,False,Glitter Girl ✨,Wonderful and very interactive,minddoc-your-companion,1052216403,
"My first insight gave me a severe depressive episode. My second insight gave me a moderate depressive episode. The last two weeks were significantly worse for me than the previous two weeks, so I’ve been using vodka to numb my emotions. I tried to end my life because I feel so much worse, but apparently my depressive episode was better based on their questions. I think the moods should be taken into consideration better.  Just because I use alcohol to soften my depressive symptoms doesn’t mean I’m getting better. Either way, this app is a great way to track moods. I really like it for that, but I think more questions should be asked in a day. I answered no for crying more often, no for having slowed movements, but I did try to hang myself that night because I felt so depressed. It didn’t take that into consideration. 
Update: I don’t need to get in touch with anyone. I don’t deserve help. Thanks to this app I know I’ll do something dangerous after multiple days of answering with a very bad mood only.",4,2020-07-25 18:08:58,False,Regalbeanie,Not accurate if you use alcohol to alter your mood,minddoc-your-companion,1052216403,"{'id': 16896434, 'body': ""We really appreciate your comment, because feedback like yours helps us to improve Moodpath. It is a good thing that you trust your own instincts when you know that the result doesn't reflect your full story. Having said that, we are concerned about you and would like to offer you getting in touch with us at\xa0info@moodpath.de. The National Suicide Prevention Lifeline also offers great support in times of crisis: +18002738255.  It does help reaching out and speaking to someone you trust. Please do so and take care. You deserve support.\n\nUpdate: We do believe that you deserve our support and would like to emphasise that the offer still stands. We really hope you consider reaching out to us in case you feel the mood building up again. "", 'modified': '2020-07-27T10:30:41Z'}"
"I’ve been using this app for almost 6 months now. It’s been incredible - it visually shows me the progression of my moods via color-coded graphs and gives me access to patterns and other important data. It also has a journaling function that is AWESOME for mental health purposes and processing things. It sends me notifications 3 times a day - morning, mid-day, and late evening - and it prompts me to answer questions about how I’m feeling. It’s great.

However, I noticed a while ago that the functions that used to be free are now only accessible with a premium account. This premium account comes with a premium price tag - nearly $50 a year. I’m not happy to now have to pay for basic features like adding your own edited emotions to the list of ones to choose for each entry. I reached out to the develops/consumer services to express my discontent with this change. I haven’t gotten feedback, so I will searching for a new journaling app. Other than that, it’s a great journaling and mood tracking app for those with and without mental health issues.",3,2020-01-17 05:25:51,False,"Shelby, B.A. UVA '19",Great for the first few months....,minddoc-your-companion,1052216403,"{'id': 13185929, 'body': 'Dear Shelby, thank you for the review. We understand your criticism. Our team would like to make Moodpath accessible to as many people as possible which is why we offer as much of the core content of the app as possible (i.e. screening for symptoms of depression followed by a sound evaluation, mood tracking, and some insights like weekly overviews) free of charge. Unfortunately, the costs for health apps are still very rarely reimbursed by health insurance companies. But we are working on it and hope that soon clinics, doctors, and psychotherapists will see that Moodpath is a meaningful tool for their clients. This would help defray the costs for individual users. We are already in touch with clinics and health insurance companies about this possibility. We are happy about suggestions on what would be be a fair price or what is missing in your opinion to justify the price we ask for. - Your Moodpath Team', 'modified': '2020-01-29T17:52:33Z'}"
"I’ve been using this app since May of 2019 and the thing I loved the most about it what how detailed and customizable it was. I could see all the data and statistics of my moods and emotions which was super interesting and really helped me get a grasp on how things were going with my mental health. I could also enter specific feelings I was having so the options would be more tailored to me. Unfortunately, now the app has gone the way of subscription and all of those features are gone. I’m immensely disappointed because this app was so unique and helpful before. I don’t want to delete it because there aren’t many other apps out there like this one, but it’s so disappointing that I can no longer access what I could before. If all it took was a simple one-time payment I would pay it in a heartbeat. But everything is subscription now and I just can’t afford it. I’m genuinely disappointed in the outcome of this and wish I could just go back to a few months ago when everything was how it was before. :(",3,2020-02-20 01:31:29,False,Maddy2849,Down With Subscription Based Apps,minddoc-your-companion,1052216403,
"I have been using this Mind Doc for the last two weeks and I don’t know why I didn’t think to download it sooner! As a college student, life can be extremely hectic and overwhelming especially when you’re trying to balance multiple things at once. This app has allowed me to reflect on my behavior and understand why it is important to keep track of my mental health. My favorite aspect of this is the journaling portion! For me, it can be hard to verbally express my emotions and know that people are actually acknowledging my feelings. By journaling, it has allowed me to get everything off of my chest and remember certain aspects of my day more clearly. I also really appreciate the different courses and audio tracks available as it has helped me to relaxed. 10/10 would recommend!",5,2020-11-16 23:26:32,False,Sammy1122334456789911579,Very beneficial!,minddoc-your-companion,1052216403,
