date,userName,review,title,rating,isEdited,developerResponse,app_name,app_id
2020-10-27 03:29:11,itskristint,"I have bipolar II & adhd. Regulating my emotions and organizing my thoughts can be extremely difficult at times. This app literally feels like a miracle. 2 days into my 7 day free trial of the membership, I was sold. I can track my moods and sleep, check off daily goals (and set reminders to do them!), see trends over time and see how they correlate with other variables, record thought distortions and challenge them, ground myself back from a panic attack, practice daily gratitude, and more. All that for $60 a year, that’s not bad at all. This app gives me the practical, tangible steps to take to become healthier and gives me the structure and encouragement I need to get there. Not to mention I had an issue with a function of the app and Ron, the CEO I think, emailed with me morning noon and night over the weekend to get it resolved. I’ve never had that kind of customer service, seriously. Highly highly recommend this app. & it’s 1000% worth the paid subscription. Hey Ron, I only have like 150 followers on social media but can I advertise for you? 😂 Not hard when you believe in the product 🤙","Amazing app, amazing customer service",5,False,"{'id': 18858253, 'body': ""Thank you so much for the awesome review! We're genuinely grateful when users share their stories about how Moodfit is helpful to them. Thank you!"", 'modified': '2020-11-02T19:33:50Z'}",moodfit,1054458809
2021-01-03 20:28:01,KNE06482,"I love this app very much. I really like all the tools it has to improve mood. The primary reason why I am giving this four stars instead of five stars Hass to do with the accessibility with voiceover. Voiceover is an accessibility service that changes how the device works to help blind and visually impaired people like me use the touchscreen. In order for voiceover to work well, the app and the interface Hass to be programmed right. Don't get me wrong, because I do think this is one of the most accessible apps for mood out there, but it is lacking a couple of things with voiceover accessibility. For example, when I try to customize the days for a reminder, voiceover does not give me any indication of which days are checked off. For the days that are checked off for the reminders, why not have voiceover say something like M selected or M checked? That would give blind and visually impaired users an indication that Monday is checked off. Otherwise, everything else about this app is great. If it wasn't for the voiceover accessibility problem, then I would give this five stars.","Love this app but, …",4,False,"{'id': 20562233, 'body': ""Thank you for taking the time to provide this feedback. It's very helpful and something we want to incorporate into future versions. Gratefully yours!"", 'modified': '2021-01-21T20:13:24Z'}",moodfit,1054458809
2021-06-25 16:41:02,Jameswithadhd,"The app is pretty awesome to be honest. I never thought I’d be keeping track of my moods through an app but here I am…. And it’s definitely helped me with keeping track of my moods and other daily goals I set. The CBT part of the app is probably my favorite though. Anytime I have distorted thinking, I’ll go in the app and write out why I was feeling the way I was, or at least try to figure out why I was feeling like I was and try to work through it so I can try to rewire the way my brain acts I’m certain situations. I have adhd, bi-polar disorder as well as a couple other disorders and this app has definitely helped in keeping me somewhat sane…. Try it out!",App has helped me out a lot 💪,5,False,"{'id': 23605195, 'body': 'Thank you for the review! We’re grateful to hear how Moodfit has been helpful and that you like the CBT tool. 🤗 ', 'modified': '2021-06-27T02:31:55Z'}",moodfit,1054458809
2021-03-01 02:04:45,26454!,"I truly love this app. I've been using it since around September 2020, and I am starting to schedule it back into my routine again. It helps me to develop a schedule around understanding my emotions and anchoring me during rough parts of the day. 

The only thing that I wish was better was how long the loading time is when I update an activity. Navigating the app is a difficult because the page-loading-time is slow, even when connected to stable WiFi. This is something that needs to be improved upon, especially when you have a subscription. However, it is a wonderful resource despite app navigation.",Amazing!,4,False,"{'id': 22201095, 'body': 'Thank you for the review. We have worked to improve the performance. Please drop us an email, hello@getmoodfit.com and let us know exactly what activity is taking too long so we can address it. Thank you again!', 'modified': '2021-04-12T20:37:38Z'}",moodfit,1054458809
2020-11-21 14:38:07,MegaSoccer94,"This app is amazing. I have adhd and anxiety and I’ve been struggling to track my mood/focus and other things daily to see how It changes throughout time. This app allows me to track my therapy sessions, medication, sleep, time spent on mindfulness, exercise, etc. which really helps me visualize the circumstances surrounding my feelings and mood that day. I’ve used a lot of apps similar to this but they’ve all been separate apps. This app is everything I need built into one. Highly recommend !",Best mental health app I’ve used,5,False,"{'id': 20562349, 'body': ""Thank you so much for the awesome review! We're gratified to hear all the ways you're finding Moodfit helpful. With much gratitude! "", 'modified': '2021-01-21T20:21:22Z'}",moodfit,1054458809
2020-06-04 10:13:21,Shay 'Stein,"I like the daily messages. They can help you think differently about your feelings and give you encouragement at the same time. Using this has helped me to track my mood and sleep patterns better. As well as helping me to remember the good things that happen each day, with an overview at the end of the week. I am still new to using this and will be exploring more of the options available. Thanks for making it easy to use!",Offers everything I was lookin for in an app like this.,5,False,"{'id': 16082369, 'body': 'Thanks for the review! We love it that you’re finding it helpful! ', 'modified': '2020-06-18T23:37:03Z'}",moodfit,1054458809
2021-02-12 00:08:21,Hne913,"I have been testing several free emotion trackers as a therapist to recommend to my clients and this one is my favorite. It’s not super fancy or cute like some of the others, but it is incredibly easy and straightforward, and has several helpful (and research based) tips and skills for different moods and such. It does a lot more than track mood, but food, exercise, gratitude, etc. The designers did a great job.",Free Yet Complete,5,False,"{'id': 21119944, 'body': 'Thank you for the review and for recommending Moodfit to your clients! BTW, we have a program for therapists to make Moodfit available to their clients. Email us, hello@getmoodfit.com and we can send you details. Thank you again!', 'modified': '2021-02-17T18:19:59Z'}",moodfit,1054458809
2021-03-12 15:28:10,frederick II,I was stuck in a lot of laziness and bad habits and didn’t know what steps to take to bring myself out of it. This app is helping me be mindful and take action in my life rather than letting it pass me by. I can’t wait until a year from now when I get to look at my progression and actually see the improvements I’ve made. Awesome app! Would recommend!,Getting out of a slump,5,False,"{'id': 22201040, 'body': 'Thank you for the review! So happy to hear that Moodfit helped you get back to the basics and to get moving and taking action. Gratefully yours!', 'modified': '2021-04-12T20:31:24Z'}",moodfit,1054458809
2020-05-28 23:13:15,Tessoxo,"The app encompasses all the tasks/skills that my therapist has been encouraging me to do! The app has been exceptionally useful to help hold myself accountable to reach out to others and maintain a healthy lifestyle because, like the app says, it helps my mental heath too. The Moodfit team even sent me an article on advice for working night shift because I have been struggling with work/sleep/mood balance.",Exceptional!,5,False,"{'id': 15655158, 'body': 'Thank you for the great review! It makes our day when we here how Moodfit is helping users. Much gratitude to you! ❤️', 'modified': '2020-05-29T14:24:41Z'}",moodfit,1054458809
2020-07-31 23:29:23,lynndar,"Thank you, 
I appreciate the notifications with encouragement. 
The situation has gone on so long that friends and family are over it. There’s very little reason to keep discussing a situation that we have no control of.  It’s important to think about my feelings and gratitude even if it’s with an app. I can tell that much thought went into the development.",Thoughtful,5,False,"{'id': 17614905, 'body': 'Thank you for the review! With much gratitude!', 'modified': '2020-09-01T00:40:18Z'}",moodfit,1054458809
