review,title,userName,rating,isEdited,date,app_name,app_id
"I am impressed how simple this app to use. Not like other applications this is far more simpler to use, you do not need an account to sign up, all you need is to pay for the app which is not  too expensive. I’m not big fan of subscriptions because other developers is making others pay per month. Why not per year? 
People has to continue working to make money. 

Also as for your extension, I was kind of feeling disappointed because you’re doing subscriptions too, as long you are not demanding for money. For the rational reason I think your doing this to keep your applications from having any problems, especially from us customers using your app. 

As customer of these applications, instead of pressuring the developers to push themselves to work hard. Work smart than hard because it will be difficult to tackle onto difficult tasks, although I suggest breaking down the difficult tasks into steps to complete a harder task to improve this application. 

One more thing before I go. Do you mind adding an app blocker to keep myself and others from being distracted? Since social media, and the internet is source of my distractions I’m mostly on my iPad than my laptop. I think it would be smart if you add an app blocker, since I already paid for this when I got the app. Could you add the app blocker for people who already paid for the app?",Amazing app yet this app needs app blocker,VictoriaSilvis,4,False,2020-02-27 17:34:27,noisli,862773459
"Edit: After deleting and reinstalling the app, Noisli regained its functionality. I’ve also changed my rating from one to five stars. 

Since updating my iOS, the app no longer functions as others have said. I enjoyed  the app on an almost nightly basis, in order to help me fall asleep, for 5 years. I hope there’s an update soon. If there’s an update, I’ll change my rating to reflect the app’s current functionality.",App crashes,StephBRogers,5,False,2021-01-02 21:27:50,noisli,862773459
The app is easy to use. The sounds are great and definitely relaxing. The background changes color on its own to pale colors meanwhile the text is white. This makes it very hard to see. The app uses very thin fonts that don’t adhere to Apple accessibility standards so the text is hard to read. I would prefer that we are able to select a static background color instead of it changing all the time. Pale mint color on white text basically makes the text disappear.,Needs improvement,youjustme73,3,False,2020-02-05 17:58:19,noisli,862773459
"It sure does a good job of mixing rain and thunder and has nice lights but the whole reason i got the app was so i could relax, and calm my mind, read a book, listen to a podcast etc.

But i cannot find where it allows you to DO anything…  i feel like a bait and switch victim.

Even if there is a way the rating stays at 2 stars because it’s impossible to find, but more likely doesn’t exist?

I can surf the web… while listening.. amazing… i dont need help focusing on the Internet, its the Internet-  its literally the most focused on “thing” of all time.  

So now im the opposite of relaxed.

Even my Task Manager allows background sound mixing and its a free task manager (and better than things 3 and Noisli.

The app of the day is like Noisli but with better sounds and … it allows you to play it while listening to an audiobook or podcast.

Bait and Switch.",A little disappointed,DEMON on GOD,2,False,2021-05-06 08:25:37,noisli,862773459
"Love this app! I had used the chrome extension and liked that but think it is worth the small fee to have this available when I’m not connected to WiFi and have chrome open. I do wish it had a shortcut to play on external Bluetooth speakers, like google home/Sonos/etc.","Great for focus, no shortcut to play on secondary devices",becca-g-28,4,False,2020-05-08 15:53:13,noisli,862773459
"Had this app A few years ago and somehow lost it, tried multiple other apps in that time, but nothing else really compared. Re-downloaded, and still loving it! Only thing that helps me sleep, and i love the save custom sounds feature.","great, easy app",A stylish girl,5,False,2020-02-10 17:07:48,noisli,862773459
"App hasn’t been updated in three years and now it’s crashing on launch 100% of the time on my iPhone XS since upgrading to iOS 14.2. I don’t expect it to be fixed. 

Before that, app worked just fine. I could hear the seams in the loops now and then, but loops were long enough that it wasn’t a huge issue. The white/pink/blue noise worked well to help with my tinnitus.",Crashes with iOS 14.2,Kevin&Jenn,2,False,2020-11-09 01:33:29,noisli,862773459
The worst part about this app is that it does not resume after anything else happens on my iPhone. Apple Music always does but this does not. It’s super annoying to have to go back into this app and restart over and over. Developers need to change this. Otherwise the app is great.,Not consistent,didaskala,3,False,2020-02-25 13:19:06,noisli,862773459
"I find this app to have a functional simplicity that’s refreshing. The sound is clear and realistic, to me, and I hear neither a break nor jump in each sound loop cycle.",Surpassed my expectations,lapp-boi,5,False,2020-02-09 00:25:10,noisli,862773459
"I love this app. It’s perfect for when I need to focus or relax by blocking things out. But I am curious... sometimes I feel like I hear very, very, very faint string music behind the sounds. Is that there? Am I hearing things?",Great app! But I’m curious.,bjdoureaux,5,False,2020-06-22 20:05:28,noisli,862773459
"Didn’t see the big deal.  There are plenty of free apps out there that offer sounds.  I paid for the app and was given a few sounds.  However, you have to subscribe to get features and full accessibility.  Not worth it.  Regret paying for the app.",Free apps that do the same thing,ybrick,2,False,2020-03-03 15:17:36,noisli,862773459
"I like the sounds this includes, but the app needs some updates. Being able to start/stop them via the button on my headphones would be great.",Needs an update,Hess_Joel,3,False,2020-06-25 14:25:38,noisli,862773459
"The app does what it says, but the user interface is not adjusted for the big screen of my iPhone 12 Pro Max and it looks like if it’s running on a smaller screen.",Please adjust app size for iPhone 12 Pro Max,Karsulaite,3,False,2021-06-28 23:05:05,noisli,862773459
App is nice but I should have saved the two dollars and instead used the desktop web version which offers additional features and is entirely free.,Good but shoulda saved the $2,VicannSpiderman,3,False,2020-09-14 18:10:06,noisli,862773459
"I love this app. Been using Noisli for years, it really helps me focus on work.",Excellent,mocasalter,5,False,2020-08-04 20:36:48,noisli,862773459
"After updating to iOS 14.2, the app immediately crashes within a second of opening each time. Please fix and push an update, I rely on this app for my sanity so much! 💙",Please fix iOS 14.2 bug/crash!,hthroso,1,False,2020-11-09 19:32:12,noisli,862773459
Being able to cast to smart devices would be nice.,Casting/Streaming,Derrick_NM,4,False,2020-01-08 06:35:37,noisli,862773459
"Simple functional app. Wish it had airplay support, though...",Basic but neat,jlkinsel,3,False,2020-03-30 00:19:58,noisli,862773459
"App is no longer functional, will not open at all.",doesn’t work,Tay 77,1,False,2021-02-17 06:26:28,noisli,862773459
What a bummer. This app just crashes on launch every time.,App crashes on launch every time,garbagecollection,1,False,2021-04-14 01:14:34,noisli,862773459
