date,isEdited,userName,rating,review,title,app_name,app_id,developerResponse
2020-07-05 19:00:54,False,Baby boom mama,5,"Slumber allows you to pick from several modalities of talk oriented sleep inducing paradigms. Dream Stories are bedtime stories which guide you into sleep and relaxation. Ex:  “The Deep Dive” obviously written by a scuba diver, talks you thru a dive so accurate and intense you feel you are actually experiencing the dive. With “The Distant Storm” you feel you are on a beach, w warm sun and sand at sunset, listening to the waves and watching a beautiful storm in the distance.  The stories are engrossing yet very relaxing and sleep inducing.  Sleep Meditations are less involved w the story line and much more involved w your body and thoughts and tensions keeping you awake. Thru breathing techniques and progressive relaxation you are in almost a state of self hypnosis and gently encouraged to let go of all thoughts and sleep. W both the Stories and the Meditations u set up your preferred background sounds which continue for as long as you choose. I usually use headphones w either my phone or my iPad, since in your background settings there are Binaural beats which encourage alpha stage sleep, but I sometimes just put my head near my device and listen.  It’s a wonderful feeling to realize you have been sleeping and you can just turn over and go back to sleep.",Best overall sleep app available.,slumber-fall-asleep-insomnia,1109543953,
2020-02-05 14:14:14,False,xsuix,3,"This app has been really helpful! I used to lie  awake at night for at least an hour because my mind is going a mile a minute but now I fall asleep a lot more easily. I do have a couple suggestions though:

1. Would love to be able to see more of a historical timeline that tells you which story you listened to on which day and what time you started it. Right now it just gives you a streak number which tbh is a bit stupid because it isn’t always accurate. I’ve listened to stories before and then it doesn’t count them for some reason so my streak resets. 

2.  This happened to me last night for the first time but I guess I ran into an error in the middle of the story. I don’t know the specifics because I was sleeping when it happened but essentially, the story stopped at some point and then it just kept playing the soundscape in the background. Which is fine, I don’t necessarily have a problem with that if something goes wrong. However, it continued past the length of the story and just kept playing. And that’s the part that I think needs to be fixed because it ended up waking me up in the middle of the night which kind of ruins the whole point of using this app in the first place to fall asleep properly.",Couple suggestions,slumber-fall-asleep-insomnia,1109543953,
2020-11-20 13:37:43,False,dzitnup,5,"I absolutely love this app!  I did the free version but upgraded to a year’s subscription of the premium almost immediately.   Already worth every penny.  I don’t have severe insomnia or anything like that, but have for awhile had problems with waking up in the middle of the night and not being able to get back to sleep.   I tried Benadryl every night (I don’t advise this - daily use can cause some really unpleasant side effects!) and also Melatonin, but Slumber beats anything else I have tried by a long shot!  I use a soft Bluetooth speaker headband and keep it on low all night long.  For lack of a better description, it gives my brain something to “latch on” to if I wake up instead of whatever else (snippets of conversations, songs, things I read the day before etc.) is banging around in my head.  The stories and voices are soothing (the French Whisperer is my favorite) and wonderfully boring LOL, so I just drift back off to sleep in no time.  I just wish I had found this a long time ago.  Download it now and buy the Premium, you won’t regret it.",Game changer,slumber-fall-asleep-insomnia,1109543953,
2020-08-03 15:49:52,False,5 Star Girl12345,5,"Hi, 
You are probably tired of me updating my reviews all of the time, but I have a view suggestions. Over all this is a great app, but I find myself getting bored of the same stories. I don’t know if you actually communicate with the narrators or the writers, but here are some story ideas. “Airline Slumber” I love planes and having a story about it would be great! “The Australian Train Ride” I love the train stories and the Australian train rides are extremely beautiful. “North Carolina Trails” maybe walking through the woods on a relaxing hike, finally reaching the top of the mountain. Also, I understand it is harder to record two people doing the same story, but I would like it if we could have a choice for a female or male voice. You all are probably working very hard during these rough times, and I would like your team to know that y’all are helping so many people, and all of y’all are worth it. Thank you for helping so much people with the stress of COVID-19. 
5 star girl",Some Suggestions Please Read (please don’t use an pre-written response),slumber-fall-asleep-insomnia,1109543953,"{'id': 17146524, 'body': 'Thanks for the story ideas regarding ""Airline Slumber"", ""The Australian Train Ride"" and ""North Carolina Trails"".  We\'re actually from North Carolina ourselves!  We\'ll forward to our content team and see what they come up with.  We already have some ideas for more train stories as well.  If you have more ideas you can always email us at support@slumber.fm.  Also if you\'re interested you can ask to join our beta program when you email us and test out some early release software.', 'modified': '2020-08-07T14:32:14Z'}"
2020-05-30 17:19:04,False,Cupcakechan,5,"I’ve tried a few apps for sleep, and this one is by far my favorite. I tried the free version first, and loved it so much that I paid for a year subscription. This is probably one of my only apps that was worth spending money on. And I mean ALL of my apps, not just the sleep ones.

I love that they add new stories and narrations often, and it’s fun that Slumber releases seasonally-appropriate stories (pumpkin stuff in autumn, cherry blossom viewing in spring). You can also toggle a variety of white noise options (rain, birds) to superimpose on the narration if you like.

The only change I might suggest is an option to delay the start of the program after the user presses play, maybe just 30 seconds or a minute or two, because after I start the selection I still need to get comfortable and say goodnight to my hubby, and my rustling around makes it hard to hear the very beginning of the story. Still gets 5 stars from me, and will get another subscription from me when my year is up.",Best Sleep App Ever!,slumber-fall-asleep-insomnia,1109543953,
2020-10-10 04:31:05,False,T Pol,5,"I have had horrible insomnia for as long as I can remember. I’ve been prescribed sleeping pills and anxiety medications to help knock me out. Somehow, this app just helps my mind to focus on a story or meditation and allows my mind to stop racing long enough for me to fall asleep. I was having some success with the free version but started getting to the point where I was reciting the words in my head because I had heard them so many times, which kept my awake. I finally got the premium version and use it pretty much every day! I would say I have gotten my money’s worth, especially considering I was paying 5x as much on medications. I do wish more of the content was longer (I hate when I get to the end of one and am still awake) and that more was released more often, but that’s my only complaint!",Has helped my insomnia for more than a year!,slumber-fall-asleep-insomnia,1109543953,
2020-01-19 01:26:35,True,YoureAJagoff,5,"Jun 9
As of last update. After having deleted all files then trying to re-download specific files, this app only saved 2 files of all that were listed to my iPhone 5s. This app now causes me to have waste precious download bandwidth every time I want to listen to most tracks. DO NOT PURCHASE THIS APP! THIS ISSUE IS UNACCEPTABLE! IT'S VERY  DISAPPOINTING THAT THE AUTHORS LET THIS BUG OCCUR! THIS BUG SHOULD HAVE BEEN IDENTIFIED DURING TESTING   UNLESS THIS CONDITION WAS BY DESIGN, WHICH IS EVEN MORE DEPLORABLE!

Apr 9
Helped me fall asleep. I mostly used the meditations with the female orators. Other times, when I played the bedtime stories. But the meditations were my favorites. I especially like the meditations that were read by Kate. I have tried other sleep aid,  but this Slumber app has them all beat hands down! PLUS, it's a drug free approach to solving an age old problem for a many of us insomniacs out here. Well done!",Doesn't save all files,slumber-fall-asleep-insomnia,1109543953,"{'id': 581363, 'body': 'Edit:  The app has been updated, and this issue has been fixed. Please download the most recent version.\n\nIf you have any other issues, feature requests, or just want to say ""Hi"", please e-mail us at getslumber@gmail.com.\n\n\n-------\nHey bud.\n\nWe\'re aware of this issue and our developers are working on a fix right now. We should have an update out within the next couple days. Sorry for the trouble, and thanks for using the app.\n\nMichael Brandon\nFounder, Slumber', 'modified': '2017-06-15T19:48:01Z'}"
2020-02-12 11:43:31,False,Family Friendly Fun,5,"My daughter and I enjoy this app, it’s absolutely the best for us and we have tried many others. As an autistic child with generalized anxiety disorder, this app helps her to quiet her mind and think positively about herself as she is settling down for the night. We enjoy just about all of the stories and meditations and appreciate being able to loop them, especially the shorter ones, so that if she’s having trouble falling asleep she has a soothing voice and positive affirmations in the background for as long as it takes. We like the variety and adjustability of the background noises; she has always needed some “white noise” to help her fall asleep and STAY asleep and we have noticed improved quality of sleep for her since we have been using this app (about a year now). Thank you, Slumber, for peaceful sleep and sweet dreams!",Worth the subscription,slumber-fall-asleep-insomnia,1109543953,
2021-05-12 14:51:26,False,Allykatrose,5,"I’ve used slumber for almost a year. Some of the narrators I like better than other, which is why being able to search by narrator is handy. They choice of stories is great, short stories to narratives that are a couple hours long. You can also learn something while listening, they have stories to take you to other countries or teach you about history, and some are just for fun. The sounds relaxing music is nice too but I still prefer to listen to the stories, with soft music in the background. There are even children’s stories for parent who need something to help their little ones fall asleep. Less expensive than other apps and I kinda of prefer not having “celebrity” voices which make me start thinking about their movies or something instead of focusing on the story.",Great app for sleep,slumber-fall-asleep-insomnia,1109543953,
2020-09-20 00:06:28,False,DoanutJ,5,"I've struggled with hard-core insomnia my entire life. One recalcitrant to any and all interventions and medications. 

So when I say that after I gave Slumber a chance, it was the best thing I've ever done. I've never slept so freaking GOOD, it is astounding. The perfection of medically-proven calming techniques, awe-inspiring and exquisitely written stories, even fantasy ones (!!!!), and soporific soundscapes (fire on the beach, rain on tin roof being just a few of the best) make for one speedy trip to dreamtown yall. And they add a new story about every night. It is solidly the best decision I've ever made and I stand five-stars all the way behind it.

I've fallen asleep within minutes every single night since that first time using Slumber and I've not looked back. I sleep so soundly, you just have to have Slumber. Guaranteed best sleep of your life. It is literally LIFE CHANGING.",BEST SLEEP OF MY LIFE,slumber-fall-asleep-insomnia,1109543953,
