review,isEdited,userName,date,title,rating,developerResponse,app_name,app_id
"I love, love, love this app. One thing though is that the music doesn’t shut off automatically after a meditation, which is a little annoying for the sleep ones. However, the programs are great, a wonderful mix of options, and the narrator is lovely and just the right amount of guidance for my and my kiddos (9 and 11). The only changes that’d be awesome are if it integrated with health, and the dashboard showed the actual length of each day.

All that being said, meditation and mindfulness aren’t panaceas. They’re great for you and they help a lot to reduce day-to-day anxiety and manage stress, but expecting a mediation app to stop panic attacks with no other interventions is kinda like expecting jogging to fix a broken wrist. It’s not that jogging isn’t good for you or that you’re doing something wrong when you keep jogging and your wrist keeps hurting. It’s that it’s probably not the intervention you need to fix your wrist. And if your wrist is broken, or you’re suffering from panic attacks and really debilitating anxiety, you deserve the care that can help those things truly heal. Check out DBT, CBT, or the Work of Byron Katie—all interventions that can help greatly with anxiety and racing minds and integrate really well with mediation.",False,Kaytearose,2020-07-24 15:42:30,Fantastic app but not therapy,5,"{'id': 16917109, 'body': ""Thanks so much for this wonderful review! We are looking into the music tuning off after a meditation in a future update. We are glad to hear it your kids love it as well!\n\nYou are absolutely right about mindfulness! We define mindfulness as paying attention to the present moment with openness, curiosity and without judgement. While we know there are many benefits psychological and physiological benefits (including reducing worries, anxiety and distress) we do not believe it to be fix all panacea. You can read here all about how we define mindfulness and it's benefits: https://www.smilingmind.com.au/mindfulness or visit this page to learn about all of the research we are doing into mindfulness and meditation practices https://www.smilingmind.com.au/research. Thanks again for your thoughtful review!"", 'modified': '2020-07-28T06:12:43Z'}",smiling-mind,560442518
"I love this app! I chose this app to try because of it being completely free, and I so appreciate that it is a free app for listeners. I was skeptical of meditation, but after giving this app a try, it has changed my mind. I listen to these meditations every night to help me unwind from my day and fall asleep. 
It has a great variety of programs to choose from. 
Personally, I really like that the meditation music continues to play even once the meditation ends, as it helps me to continue to relax and fall asleep without the abrupt ending. Instead of getting rid of this option, maybe have a sleep timer setting option so that listeners can choose if they want the music to continue playing or shut off immediately when the meditation ends. (Similar concept to a sleep timer that many music apps have). 
Thanks for having such great options for meditations, and keeping it as a free app for listeners!",False,Gncx,2020-12-09 03:01:39,A wonderful app!,5,"{'id': 20386976, 'body': 'Thank you so much for sharing your experience of the app and some suggestions for us, we really appreciate it!', 'modified': '2021-01-14T01:32:56Z'}",smiling-mind,560442518
"Wow, first off - this app is 100% free! No “free trials” then having to pay a ridiculous amount of money or only being able to use some tracks.  Secondly, since having traumatic brain injury, depression, and anxiety I have always heard people (medical professionals too) say “try meditation” and I just never was into it. It always bored me .. and I was a bit scared. But, with this app being absolutely no cost whatsoever, I finally get to practice and practice and go as slowly as I want and it has paid off! Even though I am new to this app, it has already done wonders for me! I have stopped taking melatonin at night to help me sleep because I always do a meditation from this app before I go to bed! 

Wow, I really just cannot say enough about this app!",False,Leaz77,2020-05-12 01:34:52,truly amazing :),5,"{'id': 15527864, 'body': 'Thank you so much for taking the time write this wonderful review!! :) ', 'modified': '2020-05-25T01:38:43Z'}",smiling-mind,560442518
"I love everything about this app itself. As an American, I seriously love the Australian accents featured in each meditation. And I immensely appreciate the services being offered for free. However, I do have one (and only one) complaint and that would be that my app crashes - quite literally - every time that I try to open it from the notification screen. By that, I mean that whenever I receive a “you have not meditated in ___ days, click here to do your next meditation” or a “it is time for your daily meditation” notification and I click on the given notification to open the Smiling Mind app, the app crashes and takes my phone back to its home screen every time. If this slight bug could be addressed, I’d absolutely change my rating to a 5-star and be happy to do, and I’d officially have no complaints left. Regardless, thank you for a great app and I am a big fan of it!",False,The Hot Sexy Taco,2021-02-13 18:42:10,Just one complaint,4,"{'id': 21874154, 'body': ""Hi there, thanks for the positive review. We've released a new version of the app and hopefully it's not crashing like this for you anymore!"", 'modified': '2021-03-26T02:00:54Z'}",smiling-mind,560442518
"I have had a incredibly hard time falling asleep and going throughout my average day due to my diagnosis of depression, OCD,ADHD and anxiety and can never just sit and meditate or even just focus on a meditation but this app has 100% changed that. I swear by it. Every night any session I listen to even two minutes in I am out cold. I have never been able to stay awake for a full mindfulness video because it is so relaxing and causes me to fully be one with myself. There are a TON of different modules and sessions to listen to and I recommend this app to everyone and anyone teens kids adults just everyone I love this app and I have nothing negative to say about it. Thank you smiling mind for helping me get a better sleep and better mind!",False,alpacasRus,2020-10-01 18:30:05,Changed my life,5,,smiling-mind,560442518
"I just started using this app, along with my child, and I don’t know what I would do without it. We both have ADHD so sitting is hard, but knowing I can start off with 1 or 3 minute sessions is not overwhelming. They are so useful and help me to stay calm or more focused. I do want to build up to longer ones, but baby steps. I just used the SOS because I was agitated and I needed to calm down and it worked! Yesterday I used the gratitude one and felt happy. Also, thank you for making this app free. I can’t fit more money into our budget currently so I can’t thank you enough for this. My daughter just started yesterday but I think it will help with her anxiety. Also, the daily check in is a great feature",False,KatieI70s,2020-08-20 11:28:48,I needed this in my life,5,"{'id': 17637755, 'body': 'Thank you so much for sharing your story. It means so much to us when we can hear feedback like this directly from our users. Keep up the great work!', 'modified': '2020-09-02T02:16:39Z'}",smiling-mind,560442518
"Having just started medical school in the US this past year, I became stressed out and started taking a negative outlook on life. I was also not treating those closest to me with the respect and love they deserved. After breaking up with my girlfriend, I decided to actually give myself time to meditate and reflect each day on who I was and how I could change. Doing Smiling Mind meditations regularly has made me more mindful of my emotions and how I don’t have to react to them immediately. I’ve also enjoyed the sleep meditations because the soothing Australian accents usually knock me out before the recording is even over. Thank you guys for making this app and making it free and available for everyone",False,Joe from Wakanda,2021-03-25 01:18:27,Actually changed my life!,5,"{'id': 22091848, 'body': 'Thank you for sharing your story!', 'modified': '2021-04-07T06:59:42Z'}",smiling-mind,560442518
"I have been using Smiling Mind for about a month now and it is amazing!! It is the first completely free meditation/mindfulness app that I have found and it is very well put together. There are different sections based on who is meditating and there are so many different sections. I have done the Intro and am now doing the foundations course. This app has really allowed me to learn how to practice and incorporate mindfulness into my life even when I feel too busy to sit down and pull out the app. I think that this app is perfect for anyone who is interested in mindfulness/meditation, but doesn’t want to pay a lot like most of the other popular meditation apps!",False,victoriaolsen1,2021-04-07 12:08:33,My mind is smiling,5,"{'id': 22270452, 'body': 'Thanks for sharing!', 'modified': '2021-04-15T23:50:28Z'}",smiling-mind,560442518
"This is the best mental health/check in app I’ve ever come across. I was so tired of mediation apps bombarding me with ads and the pressure to pay more for better services (it’s like.. the last thing I need when I’m trying to relax...) But Smiling Mind truly makes me feel like the people who created it actually care about the practice of mediation and not about making a buck. I find the directions to be clear and grounding, and I appreciate the wide variety of lessons and tips—they even have a series dedicated to relieving stress during quarantine. I highly recommend this app if you struggle with anxiety and/or depression!",False,Wolffjesswolff,2021-04-02 14:16:36,I love this app!,5,"{'id': 22091749, 'body': 'Thank you so much for this glowing review!', 'modified': '2021-04-07T06:55:49Z'}",smiling-mind,560442518
This app has changed me and I am so happy that I discovered it. I am 16 and I love the kids programs they let my imagination run wild. The teen and adult programs are also so amazing. It is completely free!! I was expecting costs but I got on the app signed up and no costs. Most of the other meditation apps cost money but this one doesn’t. The people talking seem like they are talking personally to you even though they are talking to millions of people. Their voice is so calming and I fall asleep in 5 minutes with an amazing sleep experience. I don’t know how they do it! I love love love this app!!,False,Pic colage nerd:/,2020-04-17 04:56:43,It’s completely FREE,5,"{'id': 15144262, 'body': 'Thanks for the great 5-star review!', 'modified': '2020-05-07T01:35:06Z'}",smiling-mind,560442518
