title,review,rating,date,userName,isEdited,app_name,app_id,developerResponse
Game Changer,"I am a 24 year old nurse with mental health issues and I have a couple of bad habits I’ve been trying to eradicate for months. I’ve tried dozens of apps from habit streaks to accountability apps to online counseling. I installed this app with the intent to explore it and nothing else. But this app is so cleverly designed, it is hard not to love. There are attractive features in this app that will help you build positive habits. Yet, I believe the real hook is the story about you that develops, which happens when you successfully complete your goals. This app does an excellent job of not just making you think, but making you do, which is what I think is the epitome of mental health. It doesn’t just strive to improve your mental health, it strives to improve your overall function. The app engages you in multiple ways, which sets it apart from the traditional templates of regular one-on-one convos with people who only roundabout with Pinterest-like “inspirational sayings.” I’m genuinely more motivated, more functional, and have made more changes in my life the past two weeks since I’ve downloaded this app than I have in the last three years. Fabulous mysteriously makes it fun to remind you to be yourself and be healthy and happy at the same time, and keeping those streaks up can be pretty satisfying too. However you use this app, whether it’s for a day or for a year - strive to commit to it, and you will reach your happiness.",5,2021-03-26 05:17:55,Elijah.Luis,False,fabulous-daily-routine-planner,1203637303,
Inspirational,"I truly do love this app. I have been using it for about a week now, and it has been more helpful than any other app I have tried. I am a young mother to two young boys, I work full time, and go to school full time. I have struggled for years now to learn how to take better care of myself due to my priorities are always making sure my children are taken care of while my health and wellness, both mentally and physically, took the back seat. For the first time in my life, I am actually creating healthy routines for myself. In the morning, I meditate, drink a glass of water, take my vitamins, and stretch. In the evenings I tidy up, read for 30 minutes and write down what went well today. And I’m still only using the free version! I think that is the best thing of all. Due to a strict budget, I cannot afford the premium version of Fabulous at the moment. However, I can still access a lot of the features that are essential to me bettering myself through this process. This also allows me to make sure that this app is everything I need it to be before I make the hefty $50 yearly subscription (I know $50 is not a lot by any means, I just can’t afford that right now🤷🏼‍♀️) and that’s okay! Because I can still thankfully do everything I need to do starting out. I sincerely appreciate the developers of this app, and I hope to stay with Fabulous for many years to come!☺️",5,2020-06-11 03:21:05,Izehbelle,False,fabulous-daily-routine-planner,1203637303,
This app is worth it,"I had previously come across this app in the past, downloaded it to see what the hype was and instantly deleted. Recently I came across this user who had recommended using fabulous to get back on track, and creating good, healthy habits. I’ve always been a routined person, but would fall off and struggle to keep track or stay on track. I would beat myself up and feel disappointed that I had to start over. After taking some needed time off for myself (especially during the pandemic) I am and have been working on myself to heal by getting back into creating healthy and happy routine for a better life. 

Just recently downloading this app (again) I wanted to put this to the test. Only after about a week of using this app, I will say that this app is by far one of the best apps I’ve ever used. It’s so gentle but so rewarding and honest about life and being “O.K.” With falling off track, making mistakes, counting the small wins, feeing appreciative, but the biggest one is making me believe in myself more by becoming the best version of myself. Mental health is so important and this app makes you feel like the darks do happen, but you can always come out on top. 

So if I had to say what is an app that works and I’m willing to spend the money...well, you’ve come to the right place.",5,2021-04-13 17:03:02,Mommakelz17,False,fabulous-daily-routine-planner,1203637303,
Skeptically positive,I actually got this app a couple months ago when I needed so positive affirmations or medications to just kind of get through the day... as I started slinking a little further into a pretty dark depression I didn’t use it I actually deleted it for a bit and frustrated that I couldn’t get into to app. I thought this little story’s were annoying... then a few weeks back I had gotten so bad I wasn’t eating or taking care of my self at all I started searching for routine apps to just try and get myself taking care of myself to feel better... As I was searching I saw this app pop up and I remembered it did have routines as well. I re downloaded it and I can actually say for the last few weeks of using it. I’m starting to like the story’s and the guidance because I WAS READY... had I reviewed this app a couple months ago it wouldn’t have been positive because that’s not where I was... but I can now say thank you! Because this app is really helping me build better habits and stay on task and I check back on it often and now listen to the story’s because I know it’s going to get me to that next level of taking care of myself. As a Mom/Wife/ and in Management... Who has time for that? Right. Thanks again for a program that’s actually working for me.,5,2021-04-12 01:02:45,MrsPrado,False,fabulous-daily-routine-planner,1203637303,
Awesome App!!!!,"I can’t say enough about this app.  I’ve been in therapy for years for some losses etc. I’ve currently been enrolled in a DBT course,8 weeks to get through 4modules.  You can’t reach knowledge or gain enough practice to be great at this in one course.  This app you have here is the perfect in between classes to work with as extra coping mechanisms..  it brings in soooo much helpful information for personal care and development.  It’s very easy to use.  For me, it is not overwhelming, you can do as much or as little as you want during the 3 parts of your days.  It has given me more practice in becoming one mindful where everybody should learn.  This mindfulness can be done in 5 minutes or less or longer.  It’s giving your mind a break.  Instead of racing around thoughts, you learn to focus and remain calm.  The meditations here are very easy to sit back and listen.  I’ve even been so relaxed I fell asleep which is very hard for me to do.  It has done wonders in just these few days to work with your app.  I love the challenges!  I also like the way you can choose what you want for your daily routine.  If what you offer isn’t enough you provide a way for us to add our own routines in, if it’s not working on the list.  Thank you so much for offering this FABULOUS app.",5,2020-01-25 12:56:35,Dcjidvnjdcnm,False,fabulous-daily-routine-planner,1203637303,
Glitching out,"If this app was working right, it would be a five star app. But it is not and has not been for about two weeks. It’s been glitching, not allowing me to access today’s list of goals and routines to check off. My daily coaching option that’s on my routines no longer brings anything up to play for the day and instead just has a list of activities you could bring up. I bought the lifetime subscription and I’m kicking myself for it now that nothing is working on it. I’ve been using this app on and off for five years among varying devices without glitching issues and now all the sudden now that I’m on day 34 or so on my current journey, it’s just decided it no longer needs to work. 
Another annoying thing is that if you forget to mark the things off as you’re doing them and decide to mark it off later, it doesn’t seem to count it the same as though you didn’t actually do anything but are just checking it off. I find this incredibly annoying. Not everyone has time to stare at their phone after every activity on their list and check it off. I’m a busy person. Some of us want to check it off later, that doesn’t mean we didn’t do it when we are supposed to. Good lord.
Also, I’ve had to uninstall and reinstall this app several times just to get it to work. I shouldn’t have to do that. There’s plenty of space on my phone and everything else works fine. Why is this app so glitchy?!",2,2021-03-10 17:40:42,Only Lee Bay,False,fabulous-daily-routine-planner,1203637303,
"2/5 ⭐️⭐️ for this absolutely fabulous rip-off, data-collecting machine","Stay away, unless you're comfortable with paying to be exploited for the sole benefit of a privatized university's already generously funded science lab, and feel good about being fabulously manipulated by how pretty this parasitic pig wearing lipstick. 

2/5 stars ⭐️ is frankly generous for this unFABULOUS disappointment! This app over-promises and under-delivers, while exploiting as many individuals as possible by tricking you into forfeiting your privacy, for the lab's own benefit. What's intentionally excluded in the description, yet IMPT AF to know about this fabulously manipulative, money-making machine is that it is a parasitic, date-collection trap, where the User (you) are tricked into becoming another lab rat. 

2/5 ⭐️⭐️ for this absolutely fabulous rip-off, data-collecting machine. Ironically, no HUMAN was available TO RESPOND; refunds are actually impossible, and I'll end this rating-rant with this: Shout out to my fellow iPhone homies, who fell for dis intense disappointment of an App, who likewise STILL be WAITING for dem SPECIALLY DESIGNED RINGTONES that never arrived. 'Cuz after these creators got yo' loot, you're less than a cog in a wheel; you become another idiot who fell for the superficial, albeit as beautiful as it is manipulative, design, aka their specimen, and they don't care!",5,2020-09-03 05:46:04,ninelettersthenfive,True,fabulous-daily-routine-planner,1203637303,"{'id': 7740199, 'body': ""👋 Hello, and thanks for your feedback! We'd love to hear more about your experience at hello@thefabulous.co"", 'modified': '2019-03-15T00:24:01Z'}"
My Saving Grace,"One of my biggest issues is feeling lost even tho my business gives me a sense of purpose I’m all alone in the basement and have no schedule. I always thought my life would be different. Now I know it’s up to me to execute the life I one day will have but not to worry about it or dwell on my past but literally just live day to day improving myself and loving myself and laughing and being grateful and giving each step of the way. That’s how you live. Fabulous is helping me get some structure because I sort of just get lost sometimes not knowing when or how to accomplish things. Like do I really have to go to bank everyday? Lol no the adderal was doing much more harm than I thought and cutting out the toxic ppl feels so good. My phone can be a curse but it’s been directing and guiding me lately, I’m so out of touch w the world cuz I’ve kept myself so isolated all these years. Like Kanye, Taylor Swift they ha d issues to snd I’m not the only one lol I can’t believe I thought I was a bar person. I’m such a good person and I’m just feeling really happy anc hopeful . And it’s only day two . ❤️my friends Richard was my saving grace and I’ll always love him for that even tho I’m changing for me. So I can be the boss I was meant to be lol 
Alexandra Pendola",5,2020-11-24 13:58:08,Ali'sAttic,False,fabulous-daily-routine-planner,1203637303,
Life Saver,"I’ve never been the type of person to steer towards the “self-help” or “self-improvement” section. In the last year, however, I began a journey of self discovery. It wasn’t on purpose. It just sort of happened. The more I learned, the more I wanted to learn. Some things need to change entirely. Some things I didn’t even realize that I was doing. This app is so well researched and written. The content is amazing. Especially for someone like me who is usually a total skeptic. I decided to give it a shot, and I am actually seeing results. I have always been a cynic, pessimist, and grew more and more neurotic as I got older. That pattern kept growing until I would have bouts of depression that I literally could not get out of. Spirals of self destruction, and I couldn’t stop the thoughts. Well, let me tell you - the thoughts will creep up. But I check myself. It’s starting to come more naturally now. My brain is like “hey, where do you think you’re going?”, and it stops all that negative stuff in it’s tracks. I’ve never been able to do that before. It’s absolutely stunning. I can’t thank the creators enough. I wholeheartedly believe that I’ve gotten a second chance at life. Not just existing anymore. And I finally believe that I deserve it.",5,2020-02-19 07:27:26,Vtechy13,False,fabulous-daily-routine-planner,1203637303,
The Jump Start I NEEDED,"I used to live my ~dream~ life and I had my set of habits that worked. I was always in a great space and nothing could have brought me down. Then I moved away for college. The freshman 15 happened and I just went up from there, I started sleeping later and waking up later, and I lost focus of the habits that made me happy. Since then I’ve been trying to get the motivation or the will to do the things I love and I always feel the need to start it all at once which is difficult and unrealistic. Bit this app has made that more of a reality. I might get a later start to my day since I’m still just trying but the practices and talks on this app, the realization that motivation isn’t real you just have to do, and the checklist all give me the push necessary to bettering me and my daily life. Honestly, can’t really find the words to describe it but try the free trial and see if it works for you. Personally, I used it once and didn’t really understand it, forgot to cancel my trial and here we are. Best accident to happen yet. But you have to want it and be willing to really make some changes or it’s not going to work. Fabulous is just a tool, it’s up to you whether or not you use it.",5,2020-11-12 17:27:13,champagne mami 💖,False,fabulous-daily-routine-planner,1203637303,
***RIPOFF***SCAM***THIEVES,"Tried this app last year and didn’t find it all that motivating. No worries…everyone has their preferences. Forgot to cancel before my free 30 day trial was up. No worries…that’s on me. But I made sure to go in and cancel right away so I wouldn’t make the same mistake again. Imagine my surprise when I started getting ‘payment failed’ emails after the one year anniversary of the expiration of my free trial. Like, enough emails to be considered harassment. So finally, I responded to one of them and reminded them that they did not have an active credit card on file because I was no longer an active account holder. I received an automatic response saying how much they value me as a customer and they’ll try to get back to me as soon as they can, but they’re super busy. No worries - they can never get back to me as far as I’m concerned - the whole point of my email was that I was trying to get them to STOP contacting me. SOOO…imagine my surprise when I checked my credit card statement today and found that a week after my email that they were too busy to respond to, they MIRACULOUSLY found my credit card information and charged my account for another year!!! NOT fabulous. SNEAKY and UNETHICAL!! Oh, and if you’re wondering if they ever responded to my email…they did not. Too busy looking for my unauthorized credit card information, I imagine. So, unless you want a lifelong relationship with this company, I cannot advise signing up.",1,2021-05-28 21:58:14,jeff_ames,False,fabulous-daily-routine-planner,1203637303,"{'id': 23241550, 'body': ""We're very sorry to hear about your experience and we appreciate that you've taken the time to share your feedback with us. It sounds like a 30-day trial was authorized. However, it failed to auto-renew. Then, the system made multiple attempts and sent multiple emails. We apologize. Regarding the delay, we've been receiving high volumes of emails. We work based on order received and we'll be working to assist you as soon as we can. In the meantime, if you received any automated emails after reaching out, then please ensure that you've successfully completed any forms in the email"", 'modified': '2021-06-07T13:27:47Z'}"
"Beautiful UI, bad UX","So the path of slow and steady incremental changes makes a ton of sense. The kinds of tasks it seems like the app orients on, also seem well founded and useful. However, the way you interact with the app itself to achieve those ends is so confusing and unintuitive to me. There’s no one place to look at what I’ve achieved or how I’m doing, or which goals I might choose. Even after using it for a few days, I’m still unsure of where to find any succinct information or even which buttons I should be pressing. In addition, the way it offers me the option to make goals and follow up with those goals just doesn’t match the natural way I make decisions or the flow of my day. 
For example, I’d see the notification to drink water with bleary eyes immediately after waking up, but before my brain can comprehend. Then it disappears into the fog of slowly waking. This morning, I finally did get myself to immediately open the app and log that I drank water, then it promptly opened a loud animated cut scene which was pretty annoying for me, but even more annoying for the person asleep next to me. I hastily closed the whole thing. 
I’d really like to utilize the set of slow and consistent reminders that seem to be at the heart of this app, but what does it matter if I can’t actually figure out how to use it? Frankly, every time I open this app I eventually just angrily close it, and am left feeling frustrated. I’d never pay for it.",1,2021-01-02 21:48:28,justletmereviewomg,False,fabulous-daily-routine-planner,1203637303,"{'id': 20472351, 'body': ""We appreciate your feedback and we're sorry to hear about the confusing interface. If you haven't done so already, then perhaps you could reach out to us with further details by completing the form after emailing hello@thefabulous.co or sending feedback from in-app (Tap the Profile Icon, then Help and Feedback). We apologize in advance for any delays. "", 'modified': '2021-01-18T10:12:50Z'}"
App quality has gone down,"I’ve been a member for over a year. Over the past 6 months the app has repeatedly frozen up, routines open without the habits loading with them, the habits being checked off on the watch but not reflecting in the mobile app, and the app completely crashing. I really like the content but the app is starting to heavily detract from the experience. At some point the pain of switching is less than the pain of staying. I’m a Dev so I get that this kind of app isn’t easy to build, but the foundations have to be solid.

You guys desperately need a feature freeze so the entire dev and design team can focus on fixing what is already there. Cleaning up the design, removing buttons that don’t need to be there, removing concepts that make no sense etc. (I have yet to understand the differences between sphere, premium, journeys and challenges). Simple things are painful, like how do I leave/end a challenge, how to I delete a routine? You mean we need to start another challenge just to end the current one? Why am I even given the option to join a challenge when the first journey isn’t done?

For all the talk about fabulous being like an instrument, and the need to learn new words to use it, fabulous is pretty bad at teaching those new concepts. Throwing up another letter isn’t a solution. UI elements need to be removed, concepts need to be simplified.",2,2020-07-07 17:25:00,Fralcon,False,fabulous-daily-routine-planner,1203637303,
Great app,"During the 7 day trial I found myself making better habits to help myself out during the day especially my morning routine. I work a night shift and have to balance out my day accordingly but this app really helped me with that with the alerts for something that used to escapes my mind early in the morning, which is to drink water it became a great habit I developed even when I’m off of work I still wake up and drink water which keeps me on the same schedule. With all the options for: the morning, afternoon, and evening routines, it’s getting a little used to but none the less I’m gaining better habits to help me throughout my day. I can say I appreciate this app and look forward to gaining my life back with healthier decisions. The only bad thing I can say about the app is when you mark that you did an activity that you did not complete, the app won’t allow you to undo that you completed it, so for someone like me who is openly honest about what I do, it will get a little frustrating to know you didn’t complete that goal for that day but everything else on this app is great and to me life saving. Thank you ^_^ for helping people change their lives in gaming better habits in just a few days.",5,2020-06-03 22:39:21,DJBlackolive,False,fabulous-daily-routine-planner,1203637303,
Terrible company and customer service.,"This company is in the business of stealing people’s money. Not only is their app ridiculously expensive, they don’t offer refunds for accidental auto renewal, or if you did not like the app. EVERY other company I have ever had experience with will offer refunds if you are not happy with their service, if it did not meet your expectations, and especially if you were accidentally paying for an app for an entire year beyond when you ever even opened the app. It is clear to me that they cannot afford to be in this business if they are going to rob their customers of their money when they aren’t happy with the service. Again, I have experience with many many apps and services and everytime I have asked for a refund I get it, no. questions. asked.  The fact that this company has the audacity to tell me they are keeping my money when I don’t even have the app still downloaded on my phone is mind blowing to me. Get out of this business, you aren’t helping people, you are robbing me.  My auto renewal was on Dec 30th and I emailed them days later. they are keeping my money for the entire 2020 year. I could understand if they maybe kept one month but refunded me the rest but to keep this ENTIRE year of my money when I’ve been very clear with them I am not using this app is just ridiculous. Do not support this company, they clearly do not care about their customers whatsoever.",1,2020-01-05 14:48:04,upsetwoman9,False,fabulous-daily-routine-planner,1203637303,"{'id': 13067222, 'body': 'Hi\xa0there, we apologize for any misunderstandings. The trials are optional, and if authorized, then we make sure to state that it auto-renews unless canceled beforehand via iTunes. We appreciate your honest feedback and it will be considered.', 'modified': '2020-01-22T18:38:33Z'}"
Brought me back to myself.. and then some,"After going through a very dark period, and as someone who has struggled with depression my entire life, I can honestly say Fabulous helped bring me back to life, back to myself. I have spent decades learning self care and reparenting myself, but in the very dark times, it can still be challenging to come out the other end. In this particular instance, I truly needed my hand held and guidance back to my light. Fabulous gave me this gift and so much more. When in a state of depression, something as simple as remembering to drink water or eat a good breakfast or move my body can feel like a mountain to climb. Fabulous’ gentle daily reminders, along with lovely inspiring encouragement, made all of these small goals attainable again. If you’ve struggled with depression, you know the impact such small feats can have. I have been using the app for over a month now and after completing the first journey am feeling so much more energized and vibrant - I feel like my true self again. It has truly laid the foundation for me to continue living my life healthily and happily. In a word, Fabulous has become my greatest companion or ally. Thank you from the bottom of my heart.",5,2021-01-29 14:55:51,Msantg,False,fabulous-daily-routine-planner,1203637303,
