rating,review,developerResponse,title,userName,date,isEdited,app_name,app_id
5,"I downloaded this app right after i had a panic attack and a friend told me about it. so far it’s helped a lot when i have my panic attacks . when my panic attacks start or i feel as if i’m going to have one i hit the rootr button and it gives me two options , help me feel okay and let’s do this which are very helpful because if i just need a little bit of assistance with my panic attack i can hit the let’s do this button then it still gives you help and walks you through a little bit but it is a lot faster then if you hit the “help me feel okay “ button it says a lot of different things that help make you feel okay. and you can even tap the screen to have them read aloud to you. and it keeps going and asks you if you feel the panic had ended and if you hit the no button then it keeps going through things but if you hit the yes button then it’s over with . overall i gave rootd a 5/5 stars because of how helpful it is .","{'id': 23557384, 'body': 'We are so so happy Rootd has been helpful. Thank you for sharing your review <3', 'modified': '2021-06-24T05:42:49Z'}",extremely helpful!,Lizzy0826,2021-06-23 00:08:15,False,rootd-panic-attack-relief,1289018369
5,"I have never written a review for any app before, but I had to for this one if it means possibly helping someone. I have tried many anxiety relief apps that I ultimately end up deleting because they simply aren’t effective. They always seem so limited and robotic, and this is a breath of fresh air from that. It makes me feel supported, like I’m not going through this alone. There are two options for when you need help, which adjusts to your mood, depending if you want to be comforted or if you feel like fighting your anxiety that day. There are features that make this journal seem more honest and real, instead of just going through the motions. Honestly, thank you for this. If you deal with anxiety on a daily basis or get attacks, I urge you to get this app. You might find it more helpful than you expect. Wish you all the best 🤍","{'id': 23027267, 'body': 'Thank you so much for taking the time to write your first app review. We started Rootd following personal struggle with panic attacks and anxiety, we’re a small team, and feedback like yours is so heartwarming and motivating. Sending you our best wishes 🥰', 'modified': '2021-05-26T15:40:18Z'}",wow :),Abdjdjskdj,2021-05-24 22:14:38,False,rootd-panic-attack-relief,1289018369
5,"This app makes me feel like I’m not as alone as I normally would feel. I am a 14 year old girl who is struggling with depression, body imagine and most of all anxiety and panic attacks. They are very scary and make me feel like I’m stuck in a dream and can’t get out. I have a ton of medication but I thing seems to work, this app helps a lot! Knowing that I’m not the only one who feels this way and I’m not alone, I never thought life could get this hard especially so early on but it can and it did 😢 this app helps me breathe and focus. I have only had it for 2 days and I feel better about panic attacks and anxiety! I still feel alone and scared a LOT but trust me this can and WILL help you so I suggest giving it a try.","{'id': 21997139, 'body': 'Thank you so much for your review. It sounds like you are very brave, and already taking amazing steps in managing + overcoming these harder times. Rootd is here to help, and we’re so thankful you’re finding it useful. ', 'modified': '2021-04-01T15:22:18Z'}",❤️,becca_bean,2021-03-31 05:15:51,False,rootd-panic-attack-relief,1289018369
5,"I am really grateful for this app! I have started having panic attacks recently and was very confused and worried about my health. I have done a few medical exams, but did not find any serious issues. However, every time i am starting to feel anxious, i keep on thinking that something is wrong with me and wind up having a panic attack feeling like i am suffocating and losing ground. Reading the Rootd explanation of how panic attacks work really helped me calm down and prevented an onset of another attack. Just by having an app on my phone i am already feeling more confident that i can deal with a panic attack (which hopefully won’t occur at a level it has before simply due to the knowledge of having Rootd support). Thank you, Ana","{'id': 20611128, 'body': ""Hi there Ana!\n\nYes, you are describing what so many with anxiety and panic attacks unfortunately go through. We're so happy that you found Rootd and that you can feel more confident having this knowledge under your belt. Thanks so much for leaving this thoughtful review so that others experiencing what you were can see that there is a solution out there.\nAll the best! "", 'modified': '2021-01-24T19:38:16Z'}",It helps!,ana!&@,2021-01-22 18:42:02,False,rootd-panic-attack-relief,1289018369
5,I am afraid to die and no one wants to but when I found this app I instantly used it my panic attacks are hard to calm down I breathe heavily I feel like I have to faint and with this app it help me so much I am not an adult and it is not crazy because kids are afraid of something and my fear is dying but my family and this app told me to feel better and that death is apart of life and I was back on my feet but I still get them so I use this so my panic attacks can go away and I do not have fear anymore I love this app and if you have anxiety you should use this app because this calmed me down and it will do the same to you help you get rid of your anxiety and fears.,"{'id': 20144010, 'body': 'Thank you for your review. Rootd is always available to support during panic attacks, even offline, and we wish you the very best on your journey and in this new year!', 'modified': '2021-01-04T00:29:47Z'}",Love and best app for anxiety,omg lol brb #,2021-01-01 20:26:22,False,rootd-panic-attack-relief,1289018369
4,"i really like this app. i mean REALLY like this app. i wish we could give half stars because it would be a 4.5 star rating. the only thing that keeps me giving a 5 star rating is that the education or techniques are seemingly limited and don’t renew themselves. 

i tried the premium version on a week trial base. i even found myself wishing for more techniques and education to be available because i had gone through a great deal of it. i couldn’t help but wonder whether i would eventually get bored with this app and forget that it existed or move onto to something else that seemed to better meet my need for a little more variety and choices. 

that aside, i do enjoy this app and find it helpful and the graphics are adorable. great job rootd.","{'id': 21997097, 'body': 'Thank you very much for your review. We just released a new app update today with new guided visualization, a brand new check-in tool, and more. Please check it out!\n\nWe’re constantly working on more updates, and definitely plan to add more lessons - but we’re a very small team working nights and weekends to move as quickly as possible. \n\nEvery review makes a huge difference for whether or not other users find Rootd - so we appreciate yours and would LOVE to makes it to 5 stars. Please email us at team@rootd.io, we’d love to hear more 🙏', 'modified': '2021-04-01T15:20:13Z'}",Thank You Rootd,Future Mrs. ,2021-03-30 15:18:06,False,rootd-panic-attack-relief,1289018369
5,"Aa I assume whoever is reading this is doing right now, I downloaded Rootd (along with several several other anxiety relief apps) in the midst of a panic attack and I'm really glad I did. I had been going to therapy but it wasn't really helping me understand how to deal with panic attacks when they're actually happening, and I would often just cry it out. Thankfully, this made my attacks much shorter, it's so user friendly and I really appreciate the affirmations it comes with in the SOS feature... while most apps just have a breathing graphic, I feel like I personally need affirmations during attacks and this is perfect for that.","{'id': 22204828, 'body': 'Thank you so much for your feedback. We’re really glad to hear the panic button SOS feature helped with your panic attacks. Wishing you only the best!', 'modified': '2021-04-13T02:16:46Z'}",hidden gem,xelseok,2021-04-11 06:20:02,False,rootd-panic-attack-relief,1289018369
5,"I’ve been dealing with and learning about anxiety my whole life, and Rootd is one of the first apps that truly helps. Unlike the ones in general meditation apps, its “panic button” concentrates on the feelings of severe anxiety only some people face. The fact that the watch app speaks aloud instead of requiring headphones is a godsend. I do wish there was volume control, but I don’t think that’s a fault on the developer’s end. One thing I would say would push this over would be being able to select a number of “motivation notifications” throughout the day. I’m saving up for the lifetime version.","{'id': 23267992, 'body': 'Thank you so much for your lovely review. Really like your idea for motivating notifications too! Definitely something we want to add soon - we have a big update to the visualizations and sleep tool coming soon too. Thanks again :)', 'modified': '2021-06-08T15:09:24Z'}",Fantastic Resource,Megaudc,2021-06-06 19:29:44,False,rootd-panic-attack-relief,1289018369
5,"My friend told me about this app a few days ago. This morning, after a particularly rough nightmare, I woke up in a panic attack, grabbed my phone and stumbled to the bathroom to get sick. I remembered the app and hit the red button, reporting that I wasn’t doing well. The reassuring statements on the screen helped so much. I only experienced half the symptoms I normally do, and didn’t need my PRN!! Thank you so much! Your team is incredible for making something like this. I may have repeated my review twice but the one I submitted before doesn’t seem to have gone through so I’m writing a second one!","{'id': 22622873, 'body': 'You are amazing, Kay! So glad to hear Rootd has proven so helpful and so glad to hear your friend recommended Rootd. We love to hear of friends taking care of friends like this! It would mean a lot to us if you passed Rootd along to further :) Big hugs! ', 'modified': '2021-05-05T00:07:27Z'}",Grounding,Kayburger,2021-05-03 20:20:49,False,rootd-panic-attack-relief,1289018369
5,"This app was recommended to me and it's been an amazing tool for me to use during my panic attacks. It checks in on you daily. there's also a section for journaling where you can input a variety of moods and emotions you may be experiencing. I also find the sleepr section useful for my mild insomnia, it definitely helps you relax. There's a section for lessons that help you to understand what is going on with your body. It's informative and keeps track of your progress. I ve been using it for 2 weeks now and it's extremely helpful.","{'id': 22698710, 'body': 'Thank you so much for your review and feedback. So happy to hear you’ve been using and enjoying so many of Rootd’s features <3', 'modified': '2021-05-08T23:04:35Z'}",Excellent Tool,!<€++€,2021-05-06 20:06:54,False,rootd-panic-attack-relief,1289018369
