isEdited,developerResponse,userName,review,date,title,rating,app_name,app_id
False,"{'id': 16835143, 'body': ""Thank you so much for your thoughtful, detailed review. The prompts for a unique name in the community are to encourage anonymity, so names that are abstract and contain numbers work well–something like your user name here on the review.:) As for the assessments, these are clinical assessments that we've put in the app to allow users to measure their progress. We haven't modified the language of these assessments, and understand where you're coming from with sensitivity to some of the terms used. That's great feedback we'll take back to the team. Thanks again."", 'modified': '2020-07-23T14:56:46Z'}",MoMo220011,This app is nice to have to keep track of your daily thoughts and feelings and track your progress and the meditations are nice but some of the wording used throughout the app makes me a little uncomfortable. When I tried to put in my name for the community posts or whatever it said “this name is not unique” and I assume that’s because it was already taken but it’s a really weird way to say it and for me at least it kind of turns it into a negative thought which is stupid but that was just my initial response and I think it could have been prevented with better wording. I also took the assessment for the first time and one of the questions asked if I still feel good about myself even when others look down on my illness which to me is kinda weird. I don’t think anyone feels good about themselves when someone looks down on them for something they can’t really control and especially not someone with anxiety/depression/self-image issues so that’s never really gonna be an “i feel great” moment but whatever. Another question referred to mental illness as “behavioral health issues” which seems inaccurate and kind of negative for someone who’s trying to better their mental health. Overall it’s a good app but some things are just a little weird and I think it could be improved by being a little more sensitive especially since it’s advertised as a tool to help people deal with and improve their mental illness.,2020-07-02 04:31:57,overall a good app,4,sanvello-anxiety-depression,922968861
False,"{'id': 21713015, 'body': ""Thanks for your review, we're very glad to hear that Sanvello has been beneficial for you!😊 Please reach out to us at info@sanvello.com so we can go over some of the options for getting your account upgraded to Premium. We can also answer any additional questions you may have about the app."", 'modified': '2021-03-17T16:28:49Z'}",HeyYallItsKawaiiKun👻,"This review is not bot-made, I just am so much better thanks to this app. When I started skipping hygiene, personal health, social health, and only being on screens, I convinced myself to make a change. And the first step was using Sanvello. My anxiety is getting so much better, and I’ve completely engaged in social activities and started dabbling in minimalism for my sake of OCD.
Next, the committee section. I have made so many allies and good advice givers here. The report section is top-notch, and I can find people with fellow interests without being afraid of internet bullying, homophobic people, and etc. I seriously don’t deserve the kindness here. 
Lastly, the shorts. I personally enjoy Garden Mark, where he talks about plans, moving on, and other things while you see him tending to his plants. It keeps me focused but also calm! 
The only thing I dislike is I’m not able to pay 10$ a month for more lessons. Please either lower the price or stop premium! People with mental health issues should have less expensive options! 
Overall, mostly fantastic app, and anyone, and I mean ANYONE, who has stress should get this app.",2021-03-16 01:10:11,I cannot believe the impact on my mental health.,5,sanvello-anxiety-depression,922968861
False,,Brooke Stump,"This app is a one stop shop! It offers so many helpful techniques for people with all different mental disorders. I am a person who has a lot of anxious tendencies, and I found this app helped to calm both my thoughts and my breathing. For people that suffer from anxiety disorders, this app offers a deep breathing exercise like I learned in my PYS250 class. This technique prevents one from having an anxiety attack/eases one while having an anxiety attack. To perform the breathing exercise simply count to 4 while slowly breathing in, hold your breath for a moment, and then slowly breath out to 4. This exercise should last for 2 minutes. Slowing one’s breathing allows the parasympathetic nervous system to be activated, calming the body. Another technique the app uses is in vivo exposure for those with social anxiety. It has one imagine a social situation that makes them anxious but then walks them through the process of imagining a positive outcome to that situation. I am so glad I was able to find this app and take advantage of all it has to offer!",2020-11-06 23:42:40,This App Actually Helps!,5,sanvello-anxiety-depression,922968861
False,"{'id': 16836466, 'body': 'Hi there. Thanks so much for your candid feedback here. The team is always looking for ways to be improving member experience, and we can see how these conversations are beneficial for some. We will be taking a closer look at our community rules.', 'modified': '2020-07-23T16:50:02Z'}",Snowe509275,"I keep being banned from posting when I don’t even say anything wrong. I’m respectful toward others in the community. I’ve had so many good conversations with people in this app. The community rules don’t say you’re not supposed to talk about suicide yet people are constantly being banned from posting when they get flagged for talking about suicide or self harm. I’ve told the staff how harmful it is to treat suicidal people the same as spammers and trolls multiple times, and they haven’t listened. The one response I’ve had was something along the lines of “this isn’t a place that can help with suicide”. Actually yes, being able to talk about suicidal thoughts or ideations freely does help people even though they should still seek professional help. Also, the unhelpful response I got doesn’t address the lack of clarity in your terms and conditions. It also doesn’t change the fact that you are making people who already feel marginalized and insecure feel WAY worse and like there is no community for them in this world. How does an app that doesn’t even clearly state that suicidal and self harm posts are taboo, then bans people for the slightest infraction against this unspoken and unnecessary taboo have so many good reviews?",2020-07-04 08:01:16,Constantly Banned for Absolutely No Good Reason,1,sanvello-anxiety-depression,922968861
False,"{'id': 17767391, 'body': 'Thank you for the feedback. When users share insightful comments, it helps us grow and improve.  I will make sure our team hears about this. ', 'modified': '2020-09-08T22:45:14Z'}",godelincomplete,"I would recommend this app to anyone. It is truly a wholesome experience. I am very surprised that some health insurance coverage applies, thats amazing! 

 I have a personal caveat. While I appreciate what “Sanvello” does for the community, I would like to suggest that you do not speak of Sanvello as third-person during meditations or use the name during audios or text. Maybe just stick to “we are here for you” instead of “you can always come back to Sanvello”. While meditating, you are probably in a very sensitive and exposed time in your life, when I hear “You can always come back to Sanvello” I feel like I am being advertised to DURING that exposed time and it can be quite sour. So far I have been able to let it go, I am hoping it doesn't continue because the decision to move to an annual sub depends on it. I am already paying the monthly fee, please leave it without names, it feels
More honest and beautifully personal when you just stick to “we are here for you” since I know who “we” is.",2020-09-03 17:09:06,"Amazing app, just a quick caveat.",4,sanvello-anxiety-depression,922968861
False,,Heral0204,"Sanvello (previously Pacifica) is the perfect app for improving mood, CBT, and anger management. I have used this app for nearly 6 years (since I was 12 or 13) and I have had a positive experience with it every year of use. 

The best unique features of this app currently include: (in order of what I like most)

•In-Depth Mood Tracking and feelings log
•Health Habit Tracking (Sleep, meals, exercise, etc.) and this even has the option to make custom bad habits like nail biting or smoking.
•Specified anonymous forums/group chats for peer-to-peer support with many different struggles 
•Automatic weekly check ins (short quiz to determine levels of anxiety, depression, etc.)
•Small library of great meditations for various situations you might be facing. 

... and as usual, more premium features are available for a subscription. Even though subscriptions are available and recommend, I have used this app for six whole years and never felt like I was lacking the tools that this app provides to help improve my life. So this app definitely gets the award of ‘best option for free mental health services’ by a LONG shot. 

SAnvello is just sooooo much better than other apps like it, because it seems like they genuinely care about your mental health by making the most important tools free to everyone to use and take advantage of. ❤️",2021-03-07 20:24:03,User of 6 years and I can’t recommend enough,5,sanvello-anxiety-depression,922968861
False,"{'id': 23269633, 'body': ""Thanks for your review and feedback, we're happy to hear setup was easy and that you're enjoying the Guided Journeys so far!!😊 I will be sure to share your UX recommendations with our product team for them to consider in future updates as well. Please email us at info@sanvello.com if you have any questions or additional feedback, we'd be happy to help!"", 'modified': '2021-06-08T17:02:57Z'}",huskiesandplants,"I love that Sanvello was available through my work’s healthcare, because otherwise I would not have tried it, so that’s definitely a plus that they make it easy to integrate with your insurance.

As far as assessments, I like them. They’re diverse enough to get me started without being overwhelming. As a dftba fan, I couldn’t help but love that they used John Green for one of the anxiety educational videos. Every other person or voice they use is soothing and not “over doing it.” I’m interested by the community feature, but I don’t use it as much as the activities. 

As far as UX, just a couple things: some buttons are not compatible with iPhone features, for example, the adjust volume slider is too close to the bottom of the screen, and so my phone thinks I want to swipe away from the app or close it. Also, sometimes the check ins don’t register and I have to start over or cancel them",2021-06-07 00:40:11,great way to start feeling better,4,sanvello-anxiety-depression,922968861
False,"{'id': 13401989, 'body': 'We are sorry you experienced these inconveniences. If you want to reach out to us at info@sanvello.com we can look into this further for you.', 'modified': '2020-02-10T15:42:00Z'}",Customer and ...,"I was excited to try this app because of the reviews and wanting to do more of my own self improvement and self healing.  I have had several issues. First off the print is to small for me to read even with my glasses but also because it’s not a dark color. It’s very light in color. It also would be nice if one had the ability to enlarge the text to fit their personal needs so not everyone has to have it in larger print. I did manage to get to step 3 in the reframe part of rethinking my answers I highlighted when I highlighted 3 of my items rephrased them it never let me hit finish because it didn’t light up. I retried again to answer the highlighted questions and it still did not let me save when I was done. I had to just go back and exit that section lost all my information and wasted about and hour of my time at 2:00 o’clock AM because I can’t sleep .  I would like to ask kindly for you to please fix this app. I’m glad I was giving it a try for free I would not be happy if I had purchased it without a test drive,",2020-02-10 09:55:16,Wishes,2,sanvello-anxiety-depression,922968861
False,"{'id': 18651662, 'body': 'Brilliant, thoughtful review.  THANK YOU. ', 'modified': '2020-10-22T21:53:43Z'}",Aly_Pu,"I used this app to help with panic attacks back in 2018 (when it was Pacifica), and now again with different issues, more depression related. I’ve tried many apps for years, and this one is the only one that sticks for me.

What I really love are the mediations and journeys. If you feel like you can’t control anxious or negative thoughts, they are great for getting “unstuck” in patterns, or at least helping one become aware. While I still lack confidence, I now know how my own thoughts reinforce beliefs and how I can reframe my perspective to combat that. 

I also did not feel like I had the language to discuss my emotions with others as well before using Sanvello. This app helps a lot if you are trapped in internalizing your experience. This app empowers me to open up to others and be more productive during therapy. Thank you so much!",2020-10-13 14:27:10,Learned how to escape negative thought traps,5,sanvello-anxiety-depression,922968861
False,,Kylie!!,"I have been trying to find an outlet for my emotions for a while. I never got into journaling or meditation, it just didn’t seem to release and feeling nor did it bring me peace. It actually stresses me out because my mind would wander during meditation and I would be frustrated that I couldn’t do it. And journaling was hard because I didn’t know what to write; if I wanted to detail everything it would take me 39 minutes to write it all out which was t practical for me. This app is quick and simple and motivates me to challenge myself. Within this app I track my mood and analyze triggers and negative self talk. I also listen to meditations and watch videos on how to help bring myself out of a negative emotions fog. I would really recommend this if you have struggled with the typical recommended therapies in the past.",2020-11-23 08:37:36,Really unlocked my emotions,5,sanvello-anxiety-depression,922968861
